"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95"
"Fetal_1",0.218705789130567,0.12102506005602,0.104930031027035,0.085218310269598,0.050280066837396,0.045900796026495,0.041921817385626,0.0337730640972651,0.0295811444276292,0.0292488603186275,0.0211056007661334,0.0201150479973182,0.0153695511848819,0.0123495930424559,0.010742117959695,0.0094257571094519,0.00892729986420469,0.00809710277620105,0.00695752466890527,0.00631155395198887,0.0058345249238985,0.00565463975250045,0.00526684407125285,0.00504391469832837,0.00494205957802165,0.0046429998400289,0.00414267807348137,0.00400826727730429,0.00394401526851333,0.00366389828966916,0.00358116010900024,0.00343921343407494,0.00316985290863756,0.00300572613274766,0.00283064010546021,0.00280385081993898,0.00264436765906534,0.00255596917778903,0.00234031870993903,0.00223021029077523,0.00216133118929862,0.00212842934631494,0.00203352147682972,0.0019840619933447,0.00182432308183079,0.00174704870696883,0.00164313420530241,0.00163015349434142,0.00158975771448677,0.00147798046932897,0.00146333153660887,0.00133912198960498,0.00126991165988299,0.0012450585229342,0.0011826595278297,0.00109763320455999,0.00107066099674727,0.00103951800703447,0.00102022851383601,0.000940392494934542,0.000938124196540889,0.000901441667780803,0.000861842104953966,0.000822663974265233,0.000802823167953668,0.000779193783413161,0.000743490089689278,0.000661610156428408,0.000656890069928707,0.000575637846911113,0.000565965519792683,0.000528950220594428,0.000498672733713499,0.000487156369514232,0.000471595768296936,0.000452702162161581,0.000424224280723772,0.00039977653947324,0.000364311558152338,0.000359568731057332,0.00034966853241755,0.000315438990699306,0.000281013623535374,0.000260829019168682,0.000241869699828364,0.000236483030473599,0.00020437909096071,0.000194178921629038,2.4420099481978e-31,NA,NA,NA,NA,NA,NA
"Fetal_2",0.208011597772719,0.150814769287248,0.11961488381509,0.0954349793843449,0.0526152192941787,0.0469275091632791,0.0409851492086854,0.0345037703330152,0.0269572421622251,0.0219025493694312,0.0196387190035505,0.0188655899562817,0.0145785272220708,0.0126018976312115,0.0113349200049526,0.0101634997207886,0.00903206540431831,0.00774348607106976,0.00757496344631427,0.00654223197498106,0.00605916143664224,0.00591114018225935,0.0053394337998468,0.00510952013215342,0.00467464832518564,0.00455002935008462,0.00422134750109327,0.00383653895656884,0.0037567674659791,0.00332855384378639,0.00329748155237547,0.00302191136689342,0.00277689980504261,0.00275385868296831,0.00268845576593784,0.00256914009287477,0.00230132728357282,0.00211831276997114,0.00191751952225908,0.0018745129372216,0.00182216030436001,0.00165350567231508,0.00144287207387447,0.00137781637043207,0.00121345199047329,0.00115972068106497,0.0010693471689544,0.000882164825615507,0.000743281201767841,0.000685548712670269,2.12682680676735e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fetal_3",0.223313913074687,0.154321665355129,0.107042215926978,0.0928846034393989,0.0524838935578931,0.044378166218982,0.039546214448696,0.033374232428039,0.0275643545187863,0.0240167244779429,0.0200385213305284,0.0164591747603019,0.0139838835882185,0.0121913623533563,0.0116122485791733,0.00962417073758241,0.00826539990560118,0.00805102257262246,0.00781452039976293,0.00655646931298262,0.00644360529771517,0.00583352260859685,0.0051086290085353,0.00481000011553648,0.00452457714883655,0.00403942173949865,0.00397663907052086,0.00393401700715665,0.00361477870083387,0.00320812452047739,0.0031366054301441,0.00292566688521444,0.00268247655889487,0.00248292418296794,0.00236458074895358,0.00224827386664761,0.00218391268727758,0.00201592869327339,0.00188113597866986,0.00184123602787246,0.00167643646525499,0.0015780865741821,0.00146947566922094,0.00141277936319007,0.00129938931199546,0.00121337978170679,0.00118625564537906,0.0011245179252323,0.00101833530533342,0.000935521032828148,0.000920140117024797,0.000871154675446092,0.000783089948582336,0.000646378056523806,0.000590524494805456,0.000495722369008576,2.27873166038331e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birth/Inf",0.309587943888601,0.121729044148692,0.0929446771562773,0.064570660747628,0.054535746400181,0.0381040908974378,0.0314413963505309,0.0248926285866971,0.0223677070585125,0.0213227962186237,0.0203258952238276,0.017019358318091,0.0163466199842001,0.0153222800625501,0.0133784796499408,0.0117713972950767,0.0097457629852418,0.00927195783590798,0.00805399409580805,0.00745139195341258,0.00604349320012983,0.00567196626935229,0.00516464595611993,0.00456881412513175,0.00439727211230654,0.00425336602734255,0.00397483382357095,0.00348975990217952,0.00339222072638562,0.00320657482708729,0.00301720000154084,0.00279068389355492,0.00264161507732058,0.00246195028293995,0.0022445614025447,0.002034295200156,0.00195510863872738,0.00174363408616784,0.00170113669126668,0.00158284632951662,0.00145205294475438,0.00131720263440056,0.00131381442188238,0.00120916919845338,0.001152980673554,0.00111181696567143,0.00107045709536809,0.00104166706852582,0.000935187860681621,0.000910951527262766,0.000846968310619479,0.000800820292884947,0.000753342529276929,0.000713783941599611,0.00067848710103145,0.000657620281264031,0.000642745577136848,0.000599565354356024,0.000579884048889635,0.000554859807479021,0.000542956743245343,0.000497793949526999,0.000447436681161645,0.000418290830686873,0.000396819827972256,0.000379585467990797,0.0003682247036929,0.00033433964381421,0.000316191000809792,0.000306905601974487,0.000276015927555801,0.000257599269677741,0.000231779896656594,0.000187655776312604,0.000175219613250029,8.15424377818714e-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infan_Child",0.316467078819942,0.150490419366465,0.114849546403215,0.0623840016750198,0.0515571403579264,0.0455575757022021,0.0257746951340305,0.0211000350341693,0.0196634660116546,0.0150426726334491,0.0134707660656828,0.0108598887999044,0.0103602932787362,0.00945936443167968,0.00870272672664042,0.00788554063852849,0.00669334691948416,0.00600603712648486,0.0058868734649613,0.00554559872554877,0.00549429134077502,0.00510725502494907,0.00480208986192436,0.00452717681753646,0.0043593081818824,0.00391920312131166,0.0038154853788256,0.00354303388620353,0.00344251984613768,0.00332708215347734,0.00310806575369074,0.00297079469518339,0.00274688294357667,0.00259412631789244,0.00234552645608062,0.00221974889079103,0.00203071914377586,0.00197228598173916,0.00191978513265427,0.0017737490141514,0.0016463981453503,0.00157941403195048,0.00152991064287357,0.00145745169881224,0.00138781526447622,0.00132386083635917,0.00128329363007846,0.00123245620125518,0.00119230891852494,0.00111637910395938,0.00104498285859144,0.000984331987219364,0.000970583170952072,0.000896203006574203,0.000835788841985392,0.000775649357618033,0.000730647169903786,0.000706151133856507,0.000671866137353155,0.00058735337581945,0.00056868483204547,0.000544524804213434,0.000473907282384677,0.000462312849300906,0.000441159593237307,0.000374111535717444,0.000352339982947379,0.000320132866653346,0.000266520035886374,0.000239651353910703,0.000227612091906044,9.56745245527829e-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Child",0.264030178323779,0.170714861029172,0.112735549995893,0.0497144591061514,0.0481012731083176,0.0434969700668845,0.0310045897559583,0.0274390861760727,0.0254578668623766,0.0198262793821603,0.0167544813932484,0.0136816853926494,0.0126754848569119,0.0121622658693227,0.00994696078915369,0.00978724576302921,0.00808307939061981,0.00779396292968561,0.00698244396728089,0.00607645530206976,0.00599478233134239,0.00551427823442652,0.00487649910561402,0.00462717600246645,0.00457505918148803,0.0044205092170708,0.00408723323121763,0.0039432620104999,0.00382650688314807,0.00347230069413622,0.0032868743571979,0.0032029485977474,0.00308175857834648,0.00274582375060441,0.00270214596011403,0.00249693532735203,0.00239945581756928,0.0022982255008263,0.00215476251192077,0.002044955208697,0.00199408276099309,0.00197097438632975,0.00187062888984506,0.00170073305257911,0.00158562198972838,0.00155012615627382,0.00142729207629369,0.00133814360801885,0.00133009271953123,0.00129060512725953,0.00122003717689146,0.00116797427198625,0.00104217870673148,0.00100687172674163,0.000985197279031958,0.000960187989269773,0.00088673322288106,0.000826295935294721,0.000810466150791227,0.000746959703536262,0.000726191727374807,0.000701382750313385,0.000680630950079869,0.000664505718333798,0.000567788213718202,0.00056053916158189,0.000532250128545217,0.000482166537067625,0.000473326239740954,0.000353235852010186,0.000330107828703029,1.0301484555966e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescent",0.321495455455334,0.171030432423366,0.0756727847610383,0.0654299857470133,0.0498936747455567,0.044233920490585,0.0346278937749732,0.0235549938994356,0.0213382752208025,0.0161491818736166,0.0130617476650359,0.0121355046372443,0.0100551055932147,0.00932815830232914,0.00886580264244032,0.00761991874772261,0.00747584227988947,0.00703408813319797,0.00635902982632503,0.00606799944003004,0.00541801354471677,0.00528388522693878,0.00491313675889256,0.00467337016602895,0.0043609792312137,0.00403555723403896,0.00391479403042547,0.0036525689041362,0.0034557136328936,0.00321352058830518,0.00308552325794597,0.00296646018665996,0.0028503371906429,0.00258414951565842,0.00249738690315954,0.00237903705289862,0.00224296184416094,0.00211960169911713,0.00199363352573403,0.00191325143144381,0.00184573784705182,0.00174889470201424,0.00166474767830563,0.00153629530996535,0.00148424917042163,0.00141523063945533,0.00131770493985934,0.00118536971220967,0.00116986033175118,0.0010353749052624,0.000965081643107442,0.000896259572716253,0.000856903975300659,0.000788991764208332,0.000766594465786057,0.000666405897768079,0.00063066578879249,0.000586102129158771,0.000455851942702575,2.53820271614178e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adult",0.189082320799896,0.151590041689283,0.110834963527823,0.105661521048733,0.066187076685897,0.0470214308053158,0.0397396049747152,0.0332301282693538,0.0224503687223963,0.0209632936651228,0.0180821860834603,0.0126015614402204,0.0111527750496188,0.0104457918417531,0.0093366436876629,0.00880432983687747,0.00776051177715356,0.00707950084371026,0.0063295688848429,0.00584209913859582,0.00556990609423777,0.0051359386864361,0.00486499999404859,0.00480204034754064,0.0043420023642419,0.00403420090860801,0.00398373172492681,0.0037605650897884,0.00366452450436934,0.00348015021210391,0.00323443444434973,0.00315774762500521,0.00304843078739772,0.00287176944890794,0.00270719608416925,0.00262234052879779,0.00246010573934409,0.00237865547013975,0.00221391485002381,0.0021508220096029,0.00201104270598365,0.00195317463472134,0.00185386850049913,0.00175272896544088,0.0017395049571385,0.00170656973945919,0.00158942713715928,0.00156962592651988,0.00146606579546768,0.00137930499987604,0.0013607473522814,0.00129500021438443,0.00122311038018126,0.00118840669607613,0.00118129139835941,0.00110251217122381,0.00107501862805109,0.00104319072382063,0.000985665044223489,0.000959471351059388,0.000920363133417686,0.00090630456249643,0.000856034515615078,0.000827824256578485,0.0007739329640526,0.000750332735618923,0.000722114538954418,0.000704500910341714,0.000679543790968372,0.000660131002671552,0.000620338939083297,0.00058883224142051,0.000567443711370457,0.000531640857744775,0.000520536826215455,0.000510553674536537,0.000496440016183619,0.000463792088744529,0.000451563253308764,0.000434975218861506,0.000409380428583012,0.00036815409078564,0.000364001278024429,0.000335845982785177,0.00031248121665398,0.000287744973540993,0.000272186607143863,0.000256978948238636,0.000255480696449644,0.000239395486488141,0.000217324977593143,0.000207526060767493,0.000200419084753933,0.000170957921609765,1.24242838389725e-31
