"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95"
"Fetal_1",0.200762058984012,0.136856311526877,0.116660439472968,0.0772766786049401,0.0540743309481195,0.0466790384262662,0.0435907526820597,0.0365404851169788,0.0335780570652737,0.0311869180568192,0.0260128572167163,0.019794049928386,0.0145767604974281,0.0115909953741551,0.010738517712512,0.00927941270082805,0.00842549136352491,0.00688152171845744,0.00585622025133134,0.00560155425925475,0.00479569505568726,0.00468478307941967,0.00406815899700665,0.00378991116311358,0.00362184659410851,0.0033573053184473,0.00330042075976219,0.00299967201353934,0.00288565616235558,0.00277388804596579,0.00266258326397578,0.00246693207249027,0.00234359729452673,0.00228735549160957,0.00216205728025641,0.0021269672849702,0.0019750474404842,0.00191336246445459,0.00185622720128115,0.00180994104228152,0.00170582783375212,0.0016426771288101,0.00161977857261013,0.00155495679461182,0.00148823784860169,0.00142063715751152,0.0013715467626651,0.00134654212697367,0.00133353545460019,0.00129289324806918,0.00121043205875225,0.00118545180765638,0.00117276924217679,0.00114475576951466,0.00113455288959122,0.00107929216178368,0.00105470115452017,0.00103853312510433,0.0010185443267091,0.000982889804655635,0.000969459408133109,0.000956999597845032,0.00094437267428568,0.000925994386096067,0.000898786873523398,0.000885728737514073,0.00087577506319172,0.000855970632597814,0.000834282876616252,0.000811773514734715,0.000799392660337406,0.000781991118027186,0.000762163020630963,0.000745362333483942,0.000732009145864496,0.000707708082871812,0.000702817699355748,0.000695614703384883,0.000679244786067185,0.000663952995614482,0.000652095111995922,0.000621861654995353,0.000606945802676524,0.000592460951414581,0.000582711754898272,0.000544037531117613,0.000528071681411788,4.79303363881746e-31,NA,NA,NA,NA,NA,NA,NA
"Fetal_2",0.200164308363194,0.158530673557565,0.135444405638206,0.102829396034287,0.053875595458378,0.0436746482692479,0.0389223399050979,0.0339357407124463,0.0255912581375643,0.0235119281850842,0.0190743484649937,0.0159285002436213,0.0142165795948664,0.0134335441496992,0.0115510415102966,0.00935807372774924,0.00825188602869751,0.00732345054244176,0.00596371082138196,0.00576741482733814,0.00488252804506117,0.00445018946710694,0.00421820964137403,0.00375568394691403,0.00366756612115916,0.00360034549419353,0.00335155943753646,0.00325700795827638,0.00310200154492691,0.00295984516016046,0.00268685726942639,0.00252618686345649,0.00240521121326188,0.00230286043795105,0.00221465366723642,0.00210562480584347,0.00201754780089535,0.00186293665736145,0.00177821397622878,0.00171498285457145,0.00169220353352549,0.00164697986433117,0.00163008611704652,0.00150482877983592,0.00138821807409909,0.00135866540071834,0.00128469706408909,0.0012678941643633,0.00106485831142032,0.000952712155472968,4.87202048115409e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fetal_3",0.219160160175273,0.154710802852033,0.120363251759218,0.0864464113747966,0.0576494838102793,0.0476031431681258,0.0449779843310464,0.0300970961530201,0.0268170502129133,0.0219651285872106,0.0203911976746843,0.0140584661147484,0.0130025221860191,0.0113787086242941,0.00995485250523541,0.00889885882575624,0.007515050180173,0.00714349274653871,0.00660287967994014,0.0059048167465237,0.00556475593724427,0.00514527152073915,0.00442242204752617,0.00422287122972806,0.00380538522417778,0.0036908671232567,0.00359832022154181,0.00333410942046717,0.00322539033788712,0.00303914050389762,0.00294268184797089,0.00278675773703587,0.00264936467611177,0.00259537367645545,0.00247036033347617,0.00235126391013736,0.00218108044280016,0.00197476316444638,0.00188721959294966,0.00182187677712236,0.00178521388706494,0.00176491428932878,0.001692831478512,0.00158027333000499,0.00152637733305145,0.00144941289586636,0.00141741196085777,0.00138226073980635,0.00132893112999473,0.00125476981299808,0.00120949456944776,0.001144976239994,0.00109113229375534,0.00107403933526298,0.00103835896093625,0.000908968310317467,4.66355767426093e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birth/Inf",0.31754468185743,0.109896588336916,0.0906988480150694,0.0687492942726432,0.0517965720364904,0.0413754628950114,0.0280780102392622,0.0250286394508166,0.0213668063977009,0.019916736953778,0.0188974160693125,0.0166258747459897,0.0153451609188098,0.0134509008303808,0.0116405556659818,0.0109242933847713,0.00968294872680386,0.0090699865880232,0.00860175922390391,0.00751134459385079,0.00643783602012746,0.0061435052192684,0.005601979212023,0.00514316325852755,0.0047741809503659,0.00466416036048826,0.00410571963270296,0.00387764783271819,0.0037470358617489,0.00368307201922488,0.00349147208127333,0.00305137576087734,0.00270267736808323,0.00262415610586378,0.00242352506287747,0.00204175868685454,0.00191466606088164,0.00184786618062782,0.00180714924982319,0.00170096626660292,0.00159009855283545,0.00151623940730332,0.00148509506445256,0.00141568544167851,0.00132431481528021,0.00129618134238528,0.00125520702258404,0.00117500918724685,0.00114064762527944,0.00110057632745093,0.00107987818995775,0.00105228864307161,0.00101463788807905,0.000979485248384136,0.000927439998222865,0.000909297177967814,0.000858454437070262,0.000832208005807692,0.000822467977195757,0.000792312404126677,0.000768798364462808,0.000748731351614159,0.000742060600700392,0.000703761743225776,0.000693602953477303,0.00067296032379527,0.000656191468953572,0.000628171184113021,0.000607827569318673,0.000583859885766828,0.0005734306546996,0.000562255679744566,0.000528226089236463,0.000511128245345529,0.000465674735259783,2.51204706289455e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infan_Child",0.318388892952343,0.16874514965379,0.119110339895025,0.0751362864816658,0.0467040886417111,0.0359346032645734,0.0246603572196978,0.0187096107390336,0.015093687289505,0.0127938882447026,0.01249394755704,0.010287225291945,0.0101215404624285,0.00785339948601069,0.00698461564925904,0.00621909729024852,0.00574506764498602,0.00549114828710354,0.00461783695156968,0.0042875309374686,0.00403965061176909,0.00396451906016089,0.00366366366642986,0.00360777372343108,0.00343514792811871,0.00326342464913245,0.00304723328057945,0.00288102827752228,0.00273762694106206,0.00263021406699375,0.00249067385956723,0.00243156042274133,0.00239967788265412,0.00228380741705129,0.00224255394279488,0.00217081382663103,0.0021297500130333,0.00209904088277328,0.00204424023905259,0.00199066916272816,0.00186810781758045,0.00182390788884303,0.00177877382868931,0.00169040425892799,0.00164900004273275,0.00160096144056546,0.00147681691523683,0.0014566597604802,0.00138316008973252,0.00136666318802575,0.0012049418952799,0.00118700084220745,0.00116488643318368,0.00113732098826904,0.00108481783831605,0.00106127280235616,0.00103008015734352,0.000996097870561936,0.000990960204384723,0.000965641782661449,0.000948327666942527,0.000891485863737009,0.000865084090534973,0.000836746737863498,0.000808985502819706,0.0007685920117617,0.000712114074413002,0.000659140182522645,0.00057720861698544,0.00056407733451343,0.000519378078194032,2.80049532773258e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Child",0.260312165419702,0.192237454351341,0.120880378414806,0.0538605086246158,0.0483343672972343,0.0372385404330499,0.0322193521035705,0.022966909790602,0.0193586077422464,0.0157993225810824,0.0152759785147066,0.0134947653591028,0.0105542400474146,0.0100847129407489,0.00913168423022171,0.0081364776535284,0.00669074641199404,0.00634798661068449,0.00568608046608457,0.00554809406517061,0.00550352589922918,0.00483086724786201,0.00455044062874861,0.00404388734795632,0.00385600923138155,0.0037197525053791,0.00352815755728051,0.00333575048210622,0.00308753684483708,0.00298635915053929,0.00282936885403572,0.00269533359517889,0.00265024629162996,0.00262211338614174,0.00251718087475107,0.00242212267282351,0.0022916818929854,0.00223975286960613,0.00218311012495638,0.00208511541152782,0.00202634492510392,0.00199487799938477,0.00193902907613198,0.00186831147506772,0.00181250107228889,0.00171889888063596,0.00167787553232985,0.00164028631417874,0.00160643654345528,0.00150279463029149,0.00145072827345844,0.00144072255847371,0.00143037335062132,0.00139023713351108,0.00137192653863918,0.00132715578987594,0.0013142668580563,0.0012813621601639,0.00123181993956455,0.00121667994197916,0.00118164211716558,0.00116210310394502,0.00111939712160009,0.00106516374081452,0.00105615789292958,0.00100684096223179,0.000925059540270987,0.000846223540399877,0.000833748544559448,0.000718019772239236,0.000706328743767783,2.3371353354885e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescent",0.327134065508168,0.170520372046063,0.0725754750540373,0.0608889075518531,0.0538934478496975,0.0454154974454713,0.0330028523621594,0.0258045838707992,0.020956846071197,0.0148412174527592,0.0124038724341919,0.011458680517501,0.00990917205470364,0.00810489555528641,0.00771242167815272,0.00760767029630766,0.00687086790849744,0.00622222616085452,0.00549407721242611,0.00510932849899149,0.00499727888298351,0.00446154946125059,0.00438919630030243,0.00424008282992708,0.00394975398015906,0.00375842444893821,0.00365612512763276,0.00345586487544481,0.0033127053788497,0.00318264798882167,0.00315196389291057,0.00302514340830768,0.00284498927763293,0.0027472875263254,0.00248025356279241,0.00239501998347368,0.00225676206432792,0.00221314579935947,0.00215025833747056,0.00211696896905703,0.00199579711477639,0.00195165684888251,0.00189973924268676,0.001826628535391,0.00174019178059195,0.0016873293508797,0.00165737398911709,0.00160822038895827,0.00157720047721837,0.00152312365958465,0.00147889287976055,0.00140537101460371,0.00139213247734946,0.00135865859679569,0.00131766504302219,0.00127542696642631,0.00125497961435528,0.00119522281601411,0.00114248957850054,5.4082398858996e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adult",0.187666359405522,0.154057436290368,0.124524840960702,0.106578794849995,0.0591965667838975,0.0438626850466858,0.0349995447028497,0.0347796971403626,0.0250608180389421,0.017715577879719,0.0159115342106618,0.0125218679062655,0.0103720237083039,0.00976484636184737,0.00930702690435619,0.00846978386479811,0.00774014337412775,0.00732309955499258,0.00559466740390245,0.00549481199646579,0.00478738727641586,0.00449040297512519,0.00437946846445998,0.00414327913432671,0.00374816742661291,0.00349539188941259,0.00340387069342576,0.00307995833922876,0.00302907810131901,0.00292501573931929,0.00275301460514173,0.00262625377232722,0.00250948860210609,0.00237805537652083,0.00229793172422208,0.0022786054155933,0.00217195246387719,0.00205621659908272,0.00202564561223522,0.00196026122813002,0.00190057163579565,0.00183500578081155,0.0017757552743199,0.00171240164479626,0.00169879104121295,0.00164949868213734,0.00159457512243304,0.00157582310420101,0.00154570818146267,0.00146238142625413,0.00145119426398782,0.00141062578396105,0.00138608832893078,0.001324919984536,0.00131503886677509,0.0013033763274669,0.00123709119475096,0.00123004505818495,0.00119005918216092,0.0011549050010911,0.00114838907000348,0.0011196215232038,0.00109726739829801,0.00106858348760131,0.00104873611733446,0.00104233084753838,0.00102427300189324,0.00101377824828387,0.00099571974056155,0.000953267703924225,0.000950567957852093,0.000915553201399242,0.000898424781080117,0.000890031617104383,0.00088131963896955,0.000867748473861145,0.000859611334295619,0.00084122158434483,0.000825201343695997,0.000806650576550151,0.00079952846014881,0.00077056314147812,0.000763103545378971,0.000750888792669194,0.000745031690402725,0.000715165750196633,0.000685620037658502,0.000673413763584916,0.000670570873402438,0.000639069926148256,0.000610019408885354,0.000594307995730548,0.00056516475743565,0.000533826500167313,3.16162532041516e-31
