"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,64,316.457,1.84e-26,"*",0.832,2.944e-25
"2","AMY","datasource",1,64,107.585,2.45e-15,"*",0.627,3.92e-14
"3","CBC","datasource",1,42,168.99,2.58e-16,"*",0.801,4.128e-15
"4","DFC","datasource",1,64,550.622,3.82e-33,"*",0.896,6.112e-32
"5","HIP","datasource",1,64,64.79,2.64e-11,"*",0.503,4.224e-10
"6","IPC","datasource",1,64,436.197,2.83e-30,"*",0.872,4.528e-29
"7","ITC","datasource",1,64,36.104,9.79e-08,"*",0.361,1.5664e-06
"8","M1C","datasource",1,64,166.744,1.75e-19,"*",0.723,2.8e-18
"9","MD","datasource",1,42,76.763,4.98e-11,"*",0.646,7.968e-10
"10","MFC","datasource",1,64,35.78,1.09e-07,"*",0.359,1.744e-06
"11","OFC","datasource",1,64,82.891,3.72e-13,"*",0.564,5.952e-12
"12","S1C","datasource",1,64,354.823,8.41e-28,"*",0.847,1.3456e-26
"13","STC","datasource",1,42,232.773,9.81e-19,"*",0.847,1.5696e-17
"14","STR","datasource",1,64,34.704,1.56e-07,"*",0.352,2.496e-06
"15","V1C","datasource",1,64,35.281,1.28e-07,"*",0.355,2.048e-06
"16","VFC","datasource",1,64,240.945,2.23e-23,"*",0.79,3.568e-22
