"","M1C_primary motor cortex (area M1, area 4)","DFC_dorsolateral prefrontal cortex","VFC_ventrolateral prefrontal cortex","OFC_orbital frontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","IPC_posteroventral (inferior) parietal cortex","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)","ITC_inferolateral temporal cortex (area TEv, area 20)","V1C_primary visual cortex (striate cortex, area V1/17)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","HIP_hippocampus (hippocampal formation)","STR_striatum","AMY_amygdaloid complex","MD_mediodorsal nucleus of thalamus"
"DFC_dorsolateral prefrontal cortex",0.017754620745115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VFC_ventrolateral prefrontal cortex",0.764965756324655,0.96331661041795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFC_orbital frontal cortex",0.954137689281849,0.791909616809632,0.999999998242823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)",0.791909616809632,0.954137689281849,1,0.999999999620196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPC_posteroventral (inferior) parietal cortex",0.251858496637465,0.999949033078996,0.999996879820149,0.998896398405802,0.999993260385518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1C_primary auditory cortex (core)",0.96331661041795,0.764965756324655,0.999999993042534,1,0.999999998242823,0.998327738725439,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STC_posterior (caudal) superior temporal cortex (area 22c)",0.992898450168573,0.579612113234402,0.999996879820149,0.999999999990531,0.99999863503109,0.986929806459242,0.999999999999105,NA,NA,NA,NA,NA,NA,NA,NA
"ITC_inferolateral temporal cortex (area TEv, area 20)",0.481461727677896,0.997523569567411,0.999999999620196,0.999986165652882,0.999999998242823,0.999999999932205,0.999972882772195,0.999289304651039,NA,NA,NA,NA,NA,NA,NA
"V1C_primary visual cortex (striate cortex, area V1/17)",0.449415391011984,0.998327738725439,0.999999998242823,0.999972882772195,0.999999993042534,0.999999999990531,0.999949033078996,0.998896398405802,1,NA,NA,NA,NA,NA,NA
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex",0.736568729322451,0.971042203492792,1,0.999999993042534,1,0.99999863503109,0.999999975797683,0.999993260385518,0.999999999932205,0.999999999620196,NA,NA,NA,NA,NA
"HIP_hippocampus (hippocampal formation)",0.99490288735101,0.546772373010078,0.999993260385518,0.999999999932205,0.999996879820149,0.982701853723733,0.999999999990531,1,0.998896398405802,0.998327738725439,0.999986165652882,NA,NA,NA,NA
"STR_striatum",0.991674774286522,0.595980007216522,0.999997920792538,0.99999999999683,0.999999117994593,0.988706996794018,1,1,0.999435190380799,0.999111572613991,0.999995383441089,1,NA,NA,NA
"AMY_amygdaloid complex",0.980215022135187,0.691641671263006,0.999999871465922,1,0.999999956721096,0.99571231407593,1,1,0.99987768554256,0.999789982094148,0.99999965020429,1,1,NA,NA
"MD_mediodorsal nucleus of thalamus",1,0.0323572300671785,0.86264699658388,0.982701853723733,0.882556301531421,0.357933116568609,0.986929806459242,0.998327738725439,0.612274809972007,0.579612113234402,0.84085795988938,0.998896398405802,0.997959332660705,0.993969573712681,NA
"CBC_cerebellar cortex",0.90056056997412,0.882556301531421,0.999999999999105,1,1,0.99983907005497,1,0.999999993042534,0.999999439568164,0.99999863503109,0.999999999990531,0.999999975797683,0.999999996441178,0.999999999973839,0.954137689281849
