"","M1C_primary motor cortex (area M1, area 4)","DFC_dorsolateral prefrontal cortex","VFC_ventrolateral prefrontal cortex","OFC_orbital frontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","IPC_posteroventral (inferior) parietal cortex","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)","ITC_inferolateral temporal cortex (area TEv, area 20)","V1C_primary visual cortex (striate cortex, area V1/17)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","HIP_hippocampus (hippocampal formation)","STR_striatum","AMY_amygdaloid complex","MD_mediodorsal nucleus of thalamus"
"DFC_dorsolateral prefrontal cortex",0.979333809900603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VFC_ventrolateral prefrontal cortex",0.737262493942453,0.999999708767372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFC_orbital frontal cortex",0.0382104052065855,0.836860018524604,0.993204335509692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)",0.0605521489770942,0.903587388207807,0.997951415005235,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPC_posteroventral (inferior) parietal cortex",0.288891333910773,0.99766616900355,0.999999638444761,0.99999595442871,0.99999979100099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1C_primary auditory cortex (core)",0.000746567735142811,1.95461617891191e-07,3.66290475728448e-09,3.47832873615062e-13,6.71351862990832e-13,4.41954250973708e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STC_posterior (caudal) superior temporal cortex (area 22c)",0.999999867633049,0.99990030168436,0.974735737957796,0.200628046724294,0.277449386426853,0.707429267323164,4.36324468856553e-05,NA,NA,NA,NA,NA,NA,NA,NA
"ITC_inferolateral temporal cortex (area TEv, area 20)",0.999992048943631,0.999995587732655,0.993447503603617,0.312578120141933,0.409942875962927,0.834273937297918,1.49653538332739e-05,1,NA,NA,NA,NA,NA,NA,NA
"V1C_primary visual cortex (striate cortex, area V1/17)",0.0226224961088209,0.743722728501517,0.980518812249657,1,0.999999999991804,0.99995185051833,2.28261853862932e-13,0.136434870064847,0.224439808145072,NA,NA,NA,NA,NA,NA
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex",5.19417509803333e-06,0.00790875590481122,0.0671186676736129,0.844482090678814,0.759579265443696,0.324809870746996,1.30229160788531e-13,0.000113420199549408,0.00030419593569897,0.912634253191051,NA,NA,NA,NA,NA
"HIP_hippocampus (hippocampal formation)",1,0.965058627961542,0.673006065778679,0.0281038183437513,0.0453984828775094,0.237023793545803,0.00112699023003648,0.999998990610115,0.999966064141471,0.0163166983385774,3.10091401756196e-06,NA,NA,NA,NA
"STR_striatum",1,0.978092973168499,0.730738148777907,0.0370153278538394,0.0587783492249129,0.283136303559801,0.000779992973734656,0.999999833323014,0.999990645464995,0.0218693452529201,4.92161730669682e-06,1,NA,NA,NA
"AMY_amygdaloid complex",0.999958075919122,0.535314565961644,0.156478694231321,0.00120165268499073,0.00225198567637019,0.0233986024061226,0.0267442816390246,0.986111953392851,0.955050491248798,0.00059879603333568,2.39927273604224e-08,0.999989862676336,0.999963568398714,NA,NA
"MD_mediodorsal nucleus of thalamus",0.0721642940618171,0.924318660984129,0.998814501813855,1,1,0.99999994965895,7.85482789922298e-13,0.312578120141933,0.451944599132475,0.999999999889034,0.720836097125328,0.0545346875864303,0.0701095091297264,0.00287531004082398,NA
"CBC_cerebellar cortex",0.623116565027004,0.999993258644819,1,0.998206287054185,0.999591181166473,0.999999994328316,1.2369272273105e-09,0.941766434585217,0.980518812249657,0.993447503603617,0.106507769586375,0.553675476835989,0.615871695903802,0.102297129562549,0.99979231532808
