"","M1C_primary motor cortex (area M1, area 4)","DFC_dorsolateral prefrontal cortex","VFC_ventrolateral prefrontal cortex","OFC_orbital frontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","IPC_posteroventral (inferior) parietal cortex","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)","ITC_inferolateral temporal cortex (area TEv, area 20)","V1C_primary visual cortex (striate cortex, area V1/17)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","HIP_hippocampus (hippocampal formation)","STR_striatum","AMY_amygdaloid complex","MD_mediodorsal nucleus of thalamus"
"DFC_dorsolateral prefrontal cortex",8.96949181594664e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VFC_ventrolateral prefrontal cortex",0.00148554059139239,0.0475498946228086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFC_orbital frontal cortex",0.513337684084451,1.0654433811208e-05,0.875097414925928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)",0.759579265443696,1.5968969178104e-06,0.669500767652419,0.999999999951087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPC_posteroventral (inferior) parietal cortex",3.10259373748067e-10,0.999990645464995,0.362961536779406,0.000585649128415633,0.000116175510669558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1C_primary auditory cortex (core)",9.16022480090817e-10,0.999906473333127,0.473411735450046,0.00117626263439763,0.000247151984089644,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STC_posterior (caudal) superior temporal cortex (area 22c)",1.8874513284528e-06,0.740500756162201,0.995845108312509,0.0968905697666005,0.0341687486671929,0.994134136968721,0.99843345402715,NA,NA,NA,NA,NA,NA,NA,NA
"ITC_inferolateral temporal cortex (area TEv, area 20)",3.95226480986999e-07,0.887879511629092,0.974018898811715,0.0433311849449961,0.0134351341387083,0.999493567490766,0.999922994169485,0.999999999998713,NA,NA,NA,NA,NA,NA,NA
"V1C_primary visual cortex (striate cortex, area V1/17)",0.0529114724568506,0.00128095288539776,0.999912301571034,0.999879547870641,0.996006165301103,0.0290436478477383,0.0482861676238064,0.66598524642954,0.466226908735065,NA,NA,NA,NA,NA,NA
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex",0.000311257071014759,0.129651482218916,0.999999999939515,0.665985246429539,0.413387949748567,0.615871695903802,0.727452598417419,0.999879547870641,0.997859844657282,0.99659887724558,NA,NA,NA,NA,NA
"HIP_hippocampus (hippocampal formation)",0.99434926409794,1.36360794877888e-08,0.166279907620361,0.999376094040304,0.999993798516674,1.83569772616021e-06,4.4174134830044e-06,0.00175681058524746,0.000535745922257136,0.78698193142217,0.0642350071229332,NA,NA,NA,NA
"STR_striatum",2.24820162486594e-13,0.999999999584188,0.0122842824842111,1.17283478628938e-06,1.54120149753467e-07,0.998635414673906,0.994759842139262,0.451944599132475,0.65182719952064,0.000209991090060813,0.0407012456175594,9.7940255905371e-10,NA,NA,NA
"AMY_amygdaloid complex",1.22194476759319e-11,0.999999999909091,0.133010090640831,6.81247809912744e-05,1.15275398236969e-05,0.999999997357443,0.999999813261066,0.921095848099518,0.979933186872529,0.00562107053647887,0.297650082724559,1.28837002733029e-07,0.99999629317927,NA,NA
"MD_mediodorsal nucleus of thalamus",0.00010809603106543,0.22197716047148,0.999999927027618,0.502391385984373,0.271831212817054,0.768881782964845,0.856725577968656,0.999995587732655,0.999779798861989,0.983247892689041,1,0.0320308760634007,0.0797523579423201,0.444851300046446,NA
"CBC_cerebellar cortex",0.129651482218915,0.000311257071014648,0.997457734093193,0.999999251341214,0.999826167868363,0.00952142567368275,0.0168966800936499,0.434276879052286,0.260803356836458,0.999999999986911,0.97099338402459,0.930490875185759,4.4735181797706e-05,0.00154940596124931,0.916088650646824
