"","M1C_primary motor cortex (area M1, area 4)","DFC_dorsolateral prefrontal cortex","VFC_ventrolateral prefrontal cortex","OFC_orbital frontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","IPC_posteroventral (inferior) parietal cortex","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)","ITC_inferolateral temporal cortex (area TEv, area 20)","V1C_primary visual cortex (striate cortex, area V1/17)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","HIP_hippocampus (hippocampal formation)","STR_striatum","AMY_amygdaloid complex","MD_mediodorsal nucleus of thalamus"
"DFC_dorsolateral prefrontal cortex",5.59221406182253e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VFC_ventrolateral prefrontal cortex",0.99455778059084,0.000683737595642775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFC_orbital frontal cortex",0.999999942958289,1.81043997571351e-08,0.88371418116323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)",0.00472219616457026,1.38777878078145e-13,7.35661027984058e-06,0.0358528576475231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPC_posteroventral (inferior) parietal cortex",1.89756221957715e-07,0,2.01972882862833e-11,4.79058087521356e-06,0.846977036761666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1C_primary auditory cortex (core)",0.999999999989623,8.71380059219717e-08,0.961279750096024,0.99999999999972,0.0152101127800923,1.17283478628938e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STC_posterior (caudal) superior temporal cortex (area 22c)",0.0352836292822225,1.50546242139171e-13,0.000127850824133358,0.174437892311603,0.99999994965895,0.469815904684781,0.0904575967217049,NA,NA,NA,NA,NA,NA,NA,NA
"ITC_inferolateral temporal cortex (area TEv, area 20)",2.31797603333916e-09,0,3.08530978543331e-13,8.45423122619593e-08,0.37281945185025,0.999998886744921,1.75447204542323e-08,0.105089207766631,NA,NA,NA,NA,NA,NA,NA
"V1C_primary visual cortex (striate cortex, area V1/17)",0.999999999502763,4.88627243111495e-08,0.93907870698665,1,0.021138581822678,1.99523776955868e-06,1,0.116866510740069,3.17376889213961e-08,NA,NA,NA,NA,NA,NA
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex",0.999493567490766,0.000205138891112733,0.999999999999256,0.963205588610064,2.91705929208463e-05,1.31073818465666e-10,0.992155774308621,0.000437797688629504,8.68638494466722e-13,0.985204622334396,NA,NA,NA,NA,NA
"HIP_hippocampus (hippocampal formation)",3.14729108179534e-05,1.17239551400417e-13,1.09243872836728e-08,0.000479023766548847,0.99956847387713,0.999955059935679,0.000147490095006586,0.966840405727662,0.974018898811715,0.000230516926879365,5.69426034102705e-08,NA,NA,NA,NA
"STR_striatum",0.214697786742136,0.187209370188339,0.974735737957796,0.0468232532210743,3.67997410322118e-10,1.10245146345278e-13,0.0982202433505155,1.49902847912387e-08,1.19348975147204e-13,0.0753398254943172,0.910871958159568,3.13304937549219e-13,NA,NA,NA
"AMY_amygdaloid complex",0.641116762647932,0.0300109997521298,0.999912301571034,0.255394676537859,2.55356993328348e-08,1.83741910575463e-13,0.413387949748567,7.44900901628043e-07,1.07469588783715e-13,0.350010776192727,0.99843345402715,1.4110268509171e-11,0.999999638444761,NA,NA
"MD_mediodorsal nucleus of thalamus",0.999998773190611,7.45076700336966e-09,0.8155483945536,1,0.0553620078282093,1.01082209452708e-05,0.99999999971128,0.239594586103048,1.95461617891191e-07,0.999999999994948,0.928981744055927,0.000888956656989515,0.0300109997521298,0.187209370188339,NA
"CBC_cerebellar cortex",0.676500829955682,0.0254431133729055,0.999955059935679,0.283136303559802,3.48253960114064e-08,1.96731519963578e-13,0.448393747794774,9.89945121765423e-07,1.10023101740353e-13,0.382796241214867,0.999021434590818,2.01972882862833e-11,0.999998990610115,1,0.209935421020398
