"","M1C_primary motor cortex (area M1, area 4)","DFC_dorsolateral prefrontal cortex","VFC_ventrolateral prefrontal cortex","OFC_orbital frontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","IPC_posteroventral (inferior) parietal cortex","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)","ITC_inferolateral temporal cortex (area TEv, area 20)","V1C_primary visual cortex (striate cortex, area V1/17)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","HIP_hippocampus (hippocampal formation)","STR_striatum","AMY_amygdaloid complex","MD_mediodorsal nucleus of thalamus"
"DFC_dorsolateral prefrontal cortex",0.449415391011984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VFC_ventrolateral prefrontal cortex",0.99983907005497,0.97745513085363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFC_orbital frontal cortex",0.999999785792241,0.86264699658388,0.999999999620196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)",0.999554161416057,0.0279564913793798,0.791909616809632,0.954137689281849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPC_posteroventral (inferior) parietal cortex",0.90056056997412,0.00132760538655552,0.251858496637465,0.513982733252872,0.999993260385518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1C_primary auditory cortex (core)",0.999999999990531,0.251858496637465,0.996410922789473,0.999949033078996,0.999993260385518,0.97745513085363,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STC_posterior (caudal) superior temporal cortex (area 22c)",0.999999999932205,0.228752327471254,0.99490288735101,0.999907820046549,0.999996879820149,0.982701853723733,1,NA,NA,NA,NA,NA,NA,NA,NA
"ITC_inferolateral temporal cortex (area TEv, area 20)",0.97745513085363,0.004749342155699,0.449415391011984,0.736568729322451,0.999999993042534,0.999999999990531,0.997523569567411,0.998327738725439,NA,NA,NA,NA,NA,NA,NA
"V1C_primary visual cortex (striate cortex, area V1/17)",0.999999975797683,0.817248155328334,0.999999993042534,1,0.971042203492792,0.579612113234402,0.999986165652882,0.999972882772195,0.791909616809632,NA,NA,NA,NA,NA,NA
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex",0.954137689281849,0.999972882772195,0.99999863503109,0.999554161416057,0.302283354356473,0.037352395435903,0.84085795988938,0.817248155328334,0.094507164011145,0.998896398405802,NA,NA,NA,NA,NA
"HIP_hippocampus (hippocampal formation)",0.99999863503109,0.094507164011145,0.954137689281849,0.996410922789473,0.999999999620196,0.998896398405802,0.999999999620196,0.999999999932205,0.999972882772195,0.998327738725439,0.579612113234402,NA,NA,NA,NA
"STR_striatum",0.99490288735101,0.998327738725439,0.999999999932205,0.999996879820149,0.546772373010078,0.106684550967984,0.96331661041795,0.954137689281849,0.228752327471254,0.999986165652882,0.999999999932205,0.817248155328334,NA,NA,NA
"AMY_amygdaloid complex",0.84085795988938,0.999999924537122,0.99983907005497,0.992898450168573,0.150726200752267,0.0129542547638641,0.644529127280274,0.612274809972007,0.037352395435903,0.986929806459242,0.999999999990531,0.357933116568609,0.999999439568164,NA,NA
"MD_mediodorsal nucleus of thalamus",0.96331661041795,0.999949033078996,0.999999439568164,0.999728061847872,0.329495183680944,0.0430040102639022,0.86264699658388,0.84085795988938,0.106684550967984,0.999289304651039,1,0.612274809972007,0.999999999990531,0.999999999932205,NA
"CBC_cerebellar cortex",1,0.481461727677896,0.999907820046549,0.999999924537122,0.999289304651039,0.882556301531421,0.999999999932205,0.999999999620196,0.971042203492792,0.999999993042534,0.96331661041795,0.999996879820149,0.996410922789473,0.86264699658388,0.971042203492792
