"","M1C_primary motor cortex (area M1, area 4)","DFC_dorsolateral prefrontal cortex","VFC_ventrolateral prefrontal cortex","OFC_orbital frontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","IPC_posteroventral (inferior) parietal cortex","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)","ITC_inferolateral temporal cortex (area TEv, area 20)","V1C_primary visual cortex (striate cortex, area V1/17)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","HIP_hippocampus (hippocampal formation)","STR_striatum","AMY_amygdaloid complex","MD_mediodorsal nucleus of thalamus"
"DFC_dorsolateral prefrontal cortex",0.99983907005497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VFC_ventrolateral prefrontal cortex",0.999986165652882,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFC_orbital frontal cortex",0.999986165652882,0.91666760458409,0.96331661041795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)",0.990283031708053,0.546772373010078,0.67614436912039,0.999999785792241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPC_posteroventral (inferior) parietal cortex",0.999999998242823,0.990283031708053,0.997523569567411,0.999999999620196,0.99983907005497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1C_primary auditory cortex (core)",0.996410922789473,0.644529127280274,0.764965756324655,0.999999993042534,1,0.999972882772195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STC_posterior (caudal) superior temporal cortex (area 22c)",0.999999439568164,0.999999999932205,1,0.986929806459242,0.791909616809632,0.999554161416057,0.86264699658388,NA,NA,NA,NA,NA,NA,NA,NA
"ITC_inferolateral temporal cortex (area TEv, area 20)",0.999999785792241,0.971042203492792,0.990283031708053,1,0.999986165652882,1,0.99999863503109,0.997523569567411,NA,NA,NA,NA,NA,NA,NA
"V1C_primary visual cortex (striate cortex, area V1/17)",0.999999999932205,0.99490288735101,0.998896398405802,0.999999993042534,0.999554161416057,1,0.999907820046549,0.99983907005497,0.999999999999105,NA,NA,NA,NA,NA,NA
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex",0.999986165652882,1,1,0.96331661041795,0.67614436912039,0.997523569567411,0.764965756324655,1,0.990283031708053,0.998896398405802,NA,NA,NA,NA,NA
"HIP_hippocampus (hippocampal formation)",1,0.999993260385518,0.999999785792241,0.999728061847872,0.96331661041795,0.999999439568164,0.982701853723733,0.999999998242823,0.999986165652882,0.999999924537122,0.999999785792241,NA,NA,NA,NA
"STR_striatum",1,0.99983907005497,0.999986165652882,0.999986165652882,0.990283031708053,0.999999998242823,0.996410922789473,0.999999439568164,0.999999785792241,0.999999999932205,0.999986165652882,1,NA,NA,NA
"AMY_amygdaloid complex",0.999999975797683,0.999999993042534,0.999999999990531,0.99490288735101,0.86264699658388,0.999907820046549,0.91666760458409,1,0.999289304651039,0.999972882772195,0.999999999990531,0.999999999990531,0.999999975797683,NA,NA
"MD_mediodorsal nucleus of thalamus",0.999999975797683,0.999999993042534,0.999999999990531,0.99490288735101,0.86264699658388,0.999907820046549,0.91666760458409,1,0.999289304651039,0.999972882772195,0.999999999990531,0.999999999990531,0.999999975797683,1,NA
"CBC_cerebellar cortex",0.999999999620196,0.999999785792241,0.999999998242823,0.998327738725439,0.91666760458409,0.999986165652882,0.954137689281849,0.999999999999105,0.99983907005497,0.999996879820149,0.999999998242823,1,0.999999999620196,1,1
