"","M1C_primary motor cortex (area M1, area 4)","DFC_dorsolateral prefrontal cortex","VFC_ventrolateral prefrontal cortex","OFC_orbital frontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","IPC_posteroventral (inferior) parietal cortex","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)","ITC_inferolateral temporal cortex (area TEv, area 20)","V1C_primary visual cortex (striate cortex, area V1/17)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","HIP_hippocampus (hippocampal formation)","STR_striatum","AMY_amygdaloid complex","MD_mediodorsal nucleus of thalamus"
"DFC_dorsolateral prefrontal cortex",0.999289304651039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VFC_ventrolateral prefrontal cortex",0.999999999620196,0.999996879820149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFC_orbital frontal cortex",0.999993260385518,0.882556301531421,0.998896398405802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)",0.99999863503109,0.999999998242823,0.999999999990531,0.986929806459242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPC_posteroventral (inferior) parietal cortex",0.97745513085363,0.999999998242823,0.998896398405802,0.612274809972007,0.999972882772195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1C_primary auditory cortex (core)",0.791909616809632,0.999907820046549,0.954137689281849,0.251858496637465,0.992898450168573,0.999999975797683,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STC_posterior (caudal) superior temporal cortex (area 22c)",0.982701853723733,0.999999999620196,0.999289304651039,0.644529127280274,0.999986165652882,1,0.999999924537122,NA,NA,NA,NA,NA,NA,NA,NA
"ITC_inferolateral temporal cortex (area TEv, area 20)",0.999999924537122,0.999999924537122,1,0.99490288735101,1,0.99983907005497,0.982701853723733,0.999907820046549,NA,NA,NA,NA,NA,NA,NA
"V1C_primary visual cortex (striate cortex, area V1/17)",0.999999999932205,0.999993260385518,1,0.999289304651039,0.999999999932205,0.998327738725439,0.943375648516558,0.998896398405802,1,NA,NA,NA,NA,NA,NA
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex",1,0.999907820046549,1,0.999907820046549,0.999999975797683,0.992898450168573,0.882556301531421,0.99490288735101,0.999999999620196,1,NA,NA,NA,NA,NA
"HIP_hippocampus (hippocampal formation)",0.91666760458409,0.207088224774296,0.706895578292157,0.999728061847872,0.481461727677896,0.0645629583092359,0.0110246823073751,0.0735170442519724,0.579612113234402,0.736568729322451,0.84085795988938,NA,NA,NA,NA
"STR_striatum",0.999999871465922,0.999999956721096,1,0.993969573712681,1,0.99987768554256,0.984934047029428,0.999931140979627,1,1,0.999999999165368,0.563200024697824,NA,NA,NA
"AMY_amygdaloid complex",1,0.999907820046549,1,0.999907820046549,0.999999975797683,0.992898450168573,0.882556301531421,0.99490288735101,0.999999999620196,1,1,0.84085795988938,0.999999999165368,NA,NA
"MD_mediodorsal nucleus of thalamus",0.99701090604936,0.563200024697824,0.958917242694681,0.999999986830028,0.851984546983007,0.263945741512854,0.0689190756688959,0.289164822369288,0.908849498912879,0.96735247628172,0.988706996794018,0.999999956721096,0.90056056997412,0.988706996794018,NA
"CBC_cerebellar cortex",0.999949033078996,1,0.999999975797683,0.954137689281849,1,0.999999439568164,0.998896398405802,0.999999785792241,0.999999999932205,0.999999924537122,0.999996879820149,0.329495183680944,0.999999999973839,0.999996879820149,0.721879719794945
