"","M1C_primary motor cortex (area M1, area 4)","DFC_dorsolateral prefrontal cortex","VFC_ventrolateral prefrontal cortex","OFC_orbital frontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","IPC_posteroventral (inferior) parietal cortex","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)","ITC_inferolateral temporal cortex (area TEv, area 20)","V1C_primary visual cortex (striate cortex, area V1/17)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","HIP_hippocampus (hippocampal formation)","STR_striatum","AMY_amygdaloid complex","MD_mediodorsal nucleus of thalamus"
"DFC_dorsolateral prefrontal cortex",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VFC_ventrolateral prefrontal cortex",0.999997838752748,0.999999085539083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFC_orbital frontal cortex",2.56891659599079e-05,2.04052235051044e-05,4.56907479851054e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)",0.999999999801495,0.999999999968051,0.999999999939515,3.36593965455378e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPC_posteroventral (inferior) parietal cortex",0.017193554136171,0.0200831945074086,0.156478694231321,1.11799458579753e-13,0.0596596968498602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1C_primary auditory cortex (core)",0.998757210287966,0.999196265337756,0.999999995114869,2.55356993328348e-08,0.999989020987701,0.420310221002153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STC_posterior (caudal) superior temporal cortex (area 22c)",0.300602948225985,0.327906997166931,0.804370981874057,4.90940621489244e-13,0.564695061613126,0.999826167868363,0.972538181963332,NA,NA,NA,NA,NA,NA,NA,NA
"ITC_inferolateral temporal cortex (area TEv, area 20)",0.999999996394313,0.999999999161158,0.999999999999019,2.10898336905352e-06,1,0.0764236335136241,0.999997405504715,0.626730048655781,NA,NA,NA,NA,NA,NA,NA
"V1C_primary visual cortex (striate cortex, area V1/17)",0.459070491922204,0.491483837664393,0.914373128145951,1.74815717457477e-12,0.734008203250646,0.997951415005235,0.994134136968721,1,0.78698193142217,NA,NA,NA,NA,NA,NA
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex",0.207581412052863,0.187209370188339,0.0258704796206506,0.648265276220945,0.0775202580018115,3.432066297826e-09,0.00454140579362317,1.78532171335455e-06,0.0605521489770942,6.6122712147898e-06,NA,NA,NA,NA,NA
"HIP_hippocampus (hippocampal formation)",0.0139221395146479,0.0118495090612262,0.000730367374163765,0.992155774308621,0.00324408422173528,5.93791682490519e-12,7.88931348095767e-05,7.2158445885151e-09,0.00229866093947539,3.27359873653066e-08,0.999960908790061,NA,NA,NA,NA
"STR_striatum",0.807197093280682,0.781025392351715,0.303572290326211,0.113829414787536,0.546328782973935,9.35381678557334e-07,0.0982202433505162,0.000200393764260509,0.484237513975608,0.000598796033335791,0.999960908790061,0.928981744055928,NA,NA,NA
"AMY_amygdaloid complex",0.280284290215211,0.255394676537859,0.0407012456175597,0.546328782973937,0.113829414787534,8.46754077965528e-09,0.00776207854512723,3.85712988582032e-06,0.0904575967217049,1.38417286402737e-05,1,0.999766618948953,0.999995587732655,NA,NA
"MD_mediodorsal nucleus of thalamus",0.965058627961541,0.956136821660271,0.601319432171717,0.0320308760634003,0.831665350827838,9.8453570072099e-06,0.274631669335645,0.00136515654434743,0.784013443036313,0.00365646352849569,0.996161935608045,0.714160903435257,0.999999999005742,0.998869494418353,NA
"CBC_cerebellar cortex",0.000625932911193727,0.000512332492960454,1.79397707820161e-05,0.99999944899907,0.000105524495740306,1.91624494050302e-13,1.34994206202332e-06,3.83584275454041e-11,6.98158612646438e-05,2.05518713158881e-10,0.964141112689645,0.99999595442871,0.466226908735067,0.93049087518576,0.205245516921133
