"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,42,0.4,0.53,"",0.009,1
"2","AMY","datasource",1,31,2.334,0.137,"",0.07,1
"3","CBC","datasource",1,20,0.521,0.479,"",0.025,1
"4","DFC","datasource",1,42,17.131,0.000164,"*",0.29,0.002788
"5","HIP","datasource",1,42,10.674,0.002,"*",0.203,0.034
"6","IPC","datasource",1,42,1.851,0.181,"",0.042,1
"7","ITC","datasource",1,20,0.979,0.334,"",0.047,1
"8","M1C","datasource",1,9,111.465,2.27e-06,"*",0.925,3.859e-05
"9","MD","datasource",1,42,19.124,7.91e-05,"*",0.313,0.0013447
"10","MFC","datasource",1,42,2.265,0.14,"",0.051,1
"11","MSC","datasource",1,31,2.477,0.126,"",0.074,1
"12","OFC","datasource",1,20,94.203,5.21e-09,"*",0.825,8.857e-08
"13","S1C","datasource",1,9,79.505,9.21e-06,"*",0.898,0.00015657
"14","STC","datasource",1,42,2.62,0.113,"",0.059,1
"15","STR","datasource",1,42,7.329,0.01,"*",0.149,0.17
"16","V1C","datasource",1,42,34.903,5.39e-07,"*",0.454,9.163e-06
"17","VFC","datasource",1,42,15.666,0.000286,"*",0.272,0.004862
