"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"231","opIFG_inferior frontal gyrus, opercular part, Left","datasource",1,1082,1647.101,1.33e-219,"*",0.604,5.5062e-217
"232","opIFG_inferior frontal gyrus, opercular part, Right","datasource",1,1082,1712.96,3.3e-225,"*",0.613,1.3662e-222
"233","OPl_occipital pole, Left, lateral aspect","datasource",1,1082,1086.89,1.4e-165,"*",0.501,5.796e-163
"234","OPs_occipital pole, Left, superior aspect","datasource",1,1082,1368.91,2.52e-194,"*",0.559,1.04328e-191
"235","orIFG_inferior frontal gyrus, orbital part, Left","datasource",1,1082,1622.491,1.8e-217,"*",0.6,7.45199999999999e-215
"236","orIFG_inferior frontal gyrus, orbital part, Right","datasource",1,1082,1863.241,1.61e-237,"*",0.633,6.6654e-235
"237","OTG-i_occipito-temporal gyrus, Left, inferior bank of gyrus","datasource",1,1082,1599.262,1.91e-215,"*",0.596,7.9074e-213
"238","OTG-i_occipito-temporal gyrus, Right, inferior bank of gyrus","datasource",1,1082,1736.801,3.32e-227,"*",0.616,1.37448e-224
"239","OTG-s_occipito-temporal gyrus, Left, superior bank of gyrus","datasource",1,1082,1633.231,2.1e-218,"*",0.602,8.694e-216
"240","OTG-s_occipito-temporal gyrus, Right, superior bank of gyrus","datasource",1,1082,1677.226,3.5e-222,"*",0.608,1.449e-219
"241","Pa_Paraventricular Nuclei, Left of Thalamus, Left","datasource",1,1082,1585.481,3.12e-214,"*",0.594,1.29168e-211
"242","Pa_Paraventricular Nuclei, Right of Thalamus, Right","datasource",1,1082,1402.837,1.48e-197,"*",0.565,6.1272e-195
"243","PalHy_Pallidohypothalamic Nucleus, Left","datasource",1,1082,1654.633,3e-220,"*",0.605,1.242e-217
"244","PaOG_parolfactory gyri, Left","datasource",1,1082,1667.202,2.51e-221,"*",0.606,1.03914e-218
"245","PaOG_parolfactory gyri, Right","datasource",1,1082,1640.564,4.88e-219,"*",0.603,2.02032e-216
"246","PCLa_paracentral lobule, anterior part, Left","datasource",1,1082,1730.322,1.16e-226,"*",0.615,4.8024e-224
"247","PCLa-i_paracentral lobule, anterior part, Left, inferior bank of gyrus","datasource",1,1082,1672.667,8.56e-222,"*",0.607,3.54384e-219
"248","PCLa-i_paracentral lobule, anterior part, Right, inferior bank of gyrus","datasource",1,1082,1848.059,2.64e-236,"*",0.631,1.09296e-233
"249","PCLa-s_paracentral lobule, anterior part, Left, superior bank of gyrus","datasource",1,1082,1637.13,9.66e-219,"*",0.602,3.99924e-216
"250","PCLa-s_paracentral lobule, anterior part, Right, superior bank of gyrus","datasource",1,1082,1855.901,6.21e-237,"*",0.632,2.57094e-234
"251","PCLp-cs_paracentral lobule, posterior part, Left, bank of cingulate sulcus","datasource",1,1082,1461.696,4.62e-203,"*",0.575,1.91268e-200
"252","PCLp-cs_paracentral lobule, posterior part, Right, bank of cingulate sulcus","datasource",1,1082,1812.138,2.09e-233,"*",0.626,8.6526e-231
"253","PCLp-l_paracentral lobule, posterior part, Left, lateral bank of gyrus","datasource",1,1082,1316.653,2.95e-189,"*",0.549,1.2213e-186
"254","PCLp-l_paracentral lobule, posterior part, Right, lateral bank of gyrus","datasource",1,1082,1796.511,3.93e-232,"*",0.624,1.62702e-229
"255","Pcu-i_precuneus, Left, inferior lateral bank of gyrus","datasource",1,1082,1588.155,1.81e-214,"*",0.595,7.4934e-212
"256","Pcu-i_precuneus, Right,  inferior lateral bank of gyrus","datasource",1,1082,1872.853,2.76e-238,"*",0.634,1.14264e-235
"257","Pcu-s_precuneus, Left,  superior lateral bank of gyrus","datasource",1,1082,1597.081,2.97e-215,"*",0.596,1.22958e-212
"258","Pcu-s_precuneus, Right, superior lateral bank of gyrus","datasource",1,1082,1672.613,8.65e-222,"*",0.607,3.5811e-219
"259","PeF_Perifornical Nucleus, Left","datasource",1,1082,1844.814,4.81e-236,"*",0.63,1.99134e-233
"260","PHA_Posterior Hypothalamic Area, Left","datasource",1,1082,1565.947,1.67e-212,"*",0.591,6.9138e-210
"261","PHA_Posterior Hypothalamic Area, Right","datasource",1,1082,1784.707,3.63e-231,"*",0.623,1.50282e-228
"262","PHG-cos_parahippocampal gyrus, Left, bank of the cos","datasource",1,1082,1611.688,1.57e-216,"*",0.598,6.4998e-214
"263","PHG-cos_parahippocampal gyrus, Right, bank of the cos","datasource",1,1082,1896.936,3.41e-240,"*",0.637,1.41174e-237
"264","PHG-l_parahippocampal gyrus, Left, lateral bank of gyrus","datasource",1,1082,1600.088,1.62e-215,"*",0.597,6.7068e-213
"265","PHG-l_parahippocampal gyrus, Right, lateral bank of gyrus","datasource",1,1082,1831.079,6.13e-235,"*",0.629,2.53782e-232
"266","PIN_pineal","datasource",1,1082,1343.716,6.78e-192,"*",0.554,2.80692e-189
"267","Pir_piriform cortex, left","datasource",1,1082,1513.066,9.21e-208,"*",0.583,3.81294e-205
"268","PLP_planum polare, Left","datasource",1,1082,1657.146,1.82e-220,"*",0.605,7.5348e-218
"269","PLP_planum polare, Right","datasource",1,1082,1601.757,1.16e-215,"*",0.597,4.8024e-213
"270","PLT_planum temporale, Left","datasource",1,1082,1644.696,2.15e-219,"*",0.603,8.901e-217
"271","PLT_planum temporale, Right","datasource",1,1082,1923.25,2.92e-242,"*",0.64,1.20888e-239
"272","Pn_pontine nuclei, Left","datasource",1,1082,1688.072,4.18e-223,"*",0.609,1.73052e-220
"273","Pn_pontine nuclei, Right","datasource",1,1082,1877.604,1.16e-238,"*",0.634,4.8024e-236
"274","PoG-cs_postcentral gyrus, Left, bank of the central sulcus","datasource",1,1082,1683.861,9.52999999999999e-223,"*",0.609,3.94542e-220
"275","PoG-cs_postcentral gyrus, Right, bank of the central sulcus","datasource",1,1082,1779.45,9.81e-231,"*",0.622,4.06134e-228
"276","PoG-il_postcentral gyrus, Left, inferior lateral aspect of gyrus","datasource",1,1082,1615.169,7.79e-217,"*",0.599,3.22506e-214
"277","PoG-il_postcentral gyrus, Right, inferior lateral aspect of gyrus","datasource",1,1082,1847.538,2.91e-236,"*",0.631,1.20474e-233
"278","PoG-pcs_postcentral gyrus, Left, bank of the posterior central sulcus","datasource",1,1082,1682.229,1.31e-222,"*",0.609,5.4234e-220
"279","PoG-pcs_postcentral gyrus, Right, bank of the posterior central sulcus","datasource",1,1082,1800.453,1.87e-232,"*",0.625,7.7418e-230
"280","PoG-sl_postcentral gyrus, Left, superior lateral aspect of gyrus","datasource",1,1082,1581.322,7.25e-214,"*",0.594,3.0015e-211
"281","PoG-sl_postcentral gyrus, Right, superior lateral aspect of gyrus","datasource",1,1082,1848.491,2.44e-236,"*",0.631,1.01016e-233
"282","POrG_posterior orbital gyrus, Left","datasource",1,1082,1402.68,1.53e-197,"*",0.565,6.3342e-195
"283","POrG_posterior orbital gyrus, Right","datasource",1,1082,1724.513,3.54e-226,"*",0.614,1.46556e-223
"284","Pr5_principal sensory nucleus of trigeminal nerve, Left","datasource",1,1082,1798.634,2.63e-232,"*",0.624,1.08882e-229
"285","Pr5_principal sensory nucleus of trigeminal nerve, Right","datasource",1,1082,2056.846,1.74e-252,"*",0.655,7.2036e-250
"286","PRF_Pontine Reticular Formation, Left","datasource",1,1082,1795.187,5.04e-232,"*",0.624,2.08656e-229
"287","PRF_Pontine Reticular Formation, Right","datasource",1,1082,1887.716,1.82e-239,"*",0.636,7.5348e-237
"288","PrG-cs_precentral gyrus, Left, bank of the central sulcus","datasource",1,1082,1782.545,5.46e-231,"*",0.622,2.26044e-228
"289","PrG-cs_precentral gyrus, Right, bank of the central sulcus","datasource",1,1082,1750.765,2.29e-228,"*",0.618,9.4806e-226
"290","PrG-il_precentral gyrus, Left, inferior lateral aspect of gyrus","datasource",1,1082,1705.363,1.44e-224,"*",0.612,5.9616e-222
"291","PrG-il_precentral gyrus, Right, inferior lateral aspect of gyrus","datasource",1,1082,1850.815,1.59e-236,"*",0.631,6.5826e-234
"292","PrG-prc_precentral gyrus, Left, bank of the precentral sulcus","datasource",1,1082,1626.215,8.52e-218,"*",0.6,3.52728e-215
"293","PrG-prc_precentral gyrus, Right, bank of the precentral sulcus","datasource",1,1082,1843.879,5.72e-236,"*",0.63,2.36808e-233
"294","PrG-sl_precentral gyrus, Left, superior lateral aspect of gyrus","datasource",1,1082,1655.883,2.34e-220,"*",0.605,9.6876e-218
"295","PrG-sl_precentral gyrus, Right, superior lateral aspect of gyrus","datasource",1,1082,1818.307,6.62e-234,"*",0.627,2.74068e-231
"296","PrOR_Preoptic Region, Left","datasource",1,1082,1467.991,1.21e-203,"*",0.576,5.0094e-201
"297","PrOR_Preoptic Region, Right","datasource",1,1082,1484.834,3.44e-205,"*",0.578,1.42416e-202
"298","PTec_Pretectal Region","datasource",1,1082,1675.335,5.07e-222,"*",0.608,2.09898e-219
"299","PTG_paraterminal gyrus, Right","datasource",1,1082,1965.201,1.61e-245,"*",0.645,6.6654e-243
"300","Pu_Putamen, Left","datasource",1,1082,1542.852,1.91e-210,"*",0.588,7.9074e-208
"301","Pu_Putamen, Right","datasource",1,1082,1704.965,1.56e-224,"*",0.612,6.4584e-222
"302","PV-Crus I_Crus I, Left Paravermis","datasource",1,1082,1265.014,3.86e-184,"*",0.539,1.59804e-181
"303","PV-Crus I_Crus I, Right Paravermis","datasource",1,1082,1790.87,1.14e-231,"*",0.623,4.7196e-229
"304","PV-Crus II_Crus II, Left Paravermis","datasource",1,1082,1185.237,5.23e-176,"*",0.523,2.16522e-173
"305","PV-Crus II_Crus II, Right Paravermis","datasource",1,1082,1809.063,3.72e-233,"*",0.626,1.54008e-230
"306","PV-III_III, Left Paravermis","datasource",1,1082,1365.729,5.09e-194,"*",0.558,2.10726e-191
"307","PV-III_III, Right Paravermis","datasource",1,1082,1713.351,3.06e-225,"*",0.613,1.26684e-222
"308","PV-IV_IV, Left Paravermis","datasource",1,1082,1288.612,1.71e-186,"*",0.544,7.0794e-184
"309","PV-IV_IV, Right Paravermis","datasource",1,1082,1741.561,1.33e-227,"*",0.617,5.5062e-225
"310","PV-IX_IX, Left Paravermis","datasource",1,1082,1333.554,6.58e-191,"*",0.552,2.72412e-188
"311","PV-IX_IX, Right Paravermis","datasource",1,1082,1922.333,3.44e-242,"*",0.64,1.42416e-239
"312","PV-V_V, Left Paravermis","datasource",1,1082,1317.314,2.54e-189,"*",0.549,1.05156e-186
"313","PV-V_V, Right Paravermis","datasource",1,1082,1809.401,3.5e-233,"*",0.626,1.449e-230
"314","PV-VI_VI, Left Paravermis","datasource",1,1082,1379.377,2.51e-195,"*",0.56,1.03914e-192
"315","PV-VI_VI, Right Paravermis","datasource",1,1082,1777.137,1.52e-230,"*",0.622,6.2928e-228
"316","PV-VIIB_VIIB, Left Paravermis","datasource",1,1082,1384.583,8e-196,"*",0.561,3.312e-193
"317","PV-VIIB_VIIB, Right Paravermis","datasource",1,1082,1802.241,1.34e-232,"*",0.625,5.5476e-230
"318","PV-VIIIA_VIIIA, Left Paravermis","datasource",1,1082,1300.901,1.04e-187,"*",0.546,4.3056e-185
"319","PV-VIIIA_VIIIA, Right Paravermis","datasource",1,1082,1590.212,1.19e-214,"*",0.595,4.9266e-212
"320","PV-VIIIB_VIIIB, Left Paravermis","datasource",1,1082,1356.343,4.08e-193,"*",0.556,1.68912e-190
"321","PV-VIIIB_VIIIB, Right Paravermis","datasource",1,1082,1698.036,5.99e-224,"*",0.611,2.47986e-221
"322","PV-X_X, Left Paravermis","datasource",1,1082,1818.288,6.64e-234,"*",0.627,2.74896e-231
"323","PVH_Paraventricular Nucleus of the Hypothalamus, Left","datasource",1,1082,1630.213,3.83e-218,"*",0.601,1.58562e-215
"324","PVH_Paraventricular Nucleus of the Hypothalamus, Right","datasource",1,1082,1769.413,6.57e-230,"*",0.621,2.71998e-227
"325","R_Reticular Nucleus of Thalamus, Left","datasource",1,1082,1772.651,3.55e-230,"*",0.621,1.4697e-227
"326","R_Reticular Nucleus of Thalamus, Right","datasource",1,1082,2076.353,6.09e-254,"*",0.657,2.52126e-251
"327","RaM_raphe nuclei of medulla","datasource",1,1082,1880.797,6.45e-239,"*",0.635,2.6703e-236
"328","RN_Red Nucleus, Left","datasource",1,1082,1771.693,4.26e-230,"*",0.621,1.76364e-227
"329","RN_Red Nucleus, Right","datasource",1,1082,2356.681,6.24e-274,"*",0.685,2.58336e-271
"330","RPn_pontine raphe nucleus","datasource",1,1082,1635.302,1.39e-218,"*",0.602,5.7546e-216
"331","RPn_pontine raphe nucleus, Left","datasource",1,1082,1537.058,6.32e-210,"*",0.587,2.61648e-207
"332","S_subiculum, Left","datasource",1,1082,1511.557,1.26e-207,"*",0.583,5.2164e-205
"333","S_subiculum, Right","datasource",1,1082,1748.618,3.45e-228,"*",0.618,1.4283e-225
"334","Sb_Subthalamic Nucleus, Left","datasource",1,1082,1700.556,3.67e-224,"*",0.611,1.51938e-221
"335","Sb_Subthalamic Nucleus, Right","datasource",1,1082,2099.14,1.24e-255,"*",0.66,5.1336e-253
"336","SC_Superior Colliculus, Left","datasource",1,1082,1663.972,4.74e-221,"*",0.606,1.96236e-218
"337","SC_Superior Colliculus, Right","datasource",1,1082,2158.042,6.05e-260,"*",0.666,2.5047e-257
"338","SCG_subcallosal gyrus, Left","datasource",1,1082,1640.725,4.72e-219,"*",0.603,1.95408e-216
"339","SCG_subcollosal gyrus, Right","datasource",1,1082,1747.915,3.95e-228,"*",0.618,1.6353e-225
"340","SFG_superior frontal gyrus, Left","datasource",1,1082,1299.725,1.36e-187,"*",0.546,5.6304e-185
"341","SFG-l_superior frontal gyrus, Left, lateral bank of gyrus","datasource",1,1082,1663.185,5.53e-221,"*",0.606,2.28942e-218
"342","SFG-l_superior frontal gyrus, Right, lateral bank of gyrus","datasource",1,1082,1795.989,4.33e-232,"*",0.624,1.79262e-229
"343","SFG-m_superior frontal gyrus, Left, medial bank of gyrus","datasource",1,1082,1643.501,2.72e-219,"*",0.603,1.12608e-216
"344","SFG-m_superior frontal gyrus, Right, medial bank of gyrus","datasource",1,1082,1801.872,1.43e-232,"*",0.625,5.9202e-230
"345","SI_Substantia Innominata, Left","datasource",1,1082,1684.328,8.69e-223,"*",0.609,3.59766e-220
"346","SI_Substantia Innominata, Right","datasource",1,1082,1756.805,7.23e-229,"*",0.619,2.99322e-226
"347","SIG_Short Insular Gyri, Left","datasource",1,1082,1609.354,2.51e-216,"*",0.598,1.03914e-213
"348","SIG_Short Insular Gyri, Right","datasource",1,1082,1801.081,1.66e-232,"*",0.625,6.8724e-230
"349","SMG-i_supramarginal gyrus, Left, inferior bank of gyrus","datasource",1,1082,1523.851,9.75e-209,"*",0.585,4.0365e-206
"350","SMG-i_supramarginal gyrus, Right, inferior bank of gyrus","datasource",1,1082,1921.648,3.89e-242,"*",0.64,1.61046e-239
"351","SMG-s_supramarginal gyrus, Left, superior bank of gyrus","datasource",1,1082,1609.558,2.4e-216,"*",0.598,9.93599999999999e-214
"352","SMG-s_supramarginal gyrus, Right, superior bank of gyrus","datasource",1,1082,1814.379,1.38e-233,"*",0.626,5.7132e-231
"353","SNC_Substantia Nigra, pars compacta, Left","datasource",1,1082,1733.149,6.71e-227,"*",0.616,2.77794e-224
"354","SNC_Substantia Nigra, pars compacta, Right","datasource",1,1082,2157.098,7.08e-260,"*",0.666,2.93112e-257
"355","SNR_Substantia Nigra, pars reticulata, Left","datasource",1,1082,1963.139,2.32e-245,"*",0.645,9.6048e-243
"356","SNR_Substantia Nigra, pars reticulata, Right","datasource",1,1082,2661.022,7.28e-294,"*",0.711,3.01392e-291
"357","SO_Supraoptic Nucleus, Left","datasource",1,1082,1595.228,4.33e-215,"*",0.596,1.79262e-212
"358","SO_Supraoptic Nucleus, Right","datasource",1,1082,1541.881,2.33e-210,"*",0.588,9.6462e-208
"359","SOC_Superior Olivary Complex, Left","datasource",1,1082,1598.952,2.04e-215,"*",0.596,8.4456e-213
"360","SOC_Superior Olivary Complex, Right","datasource",1,1082,2097.883,1.54e-255,"*",0.66,6.3756e-253
"361","SOG-i_superior occipital gyrus, Left, inferior bank of gyrus","datasource",1,1082,1495.923,3.33e-206,"*",0.58,1.37862e-203
"362","SOG-i_superior occipital gyrus, Right, inferior bank of gyrus","datasource",1,1082,1429.809,4.28e-200,"*",0.569,1.77192e-197
"363","SOG-s_superior occipital gyrus, Left, superior bank of gyrus","datasource",1,1082,1588.905,1.56e-214,"*",0.595,6.4584e-212
"364","SOG-s_superior occipital gyrus, Right, superior bank of gyrus","datasource",1,1082,1646.291,1.56e-219,"*",0.603,6.4584e-217
"365","Sp5_spinal trigeminal nucleus, Left","datasource",1,1082,1955.836,8.51e-245,"*",0.644,3.52314e-242
"366","Sp5_spinal trigeminal nucleus, Right","datasource",1,1082,2178.379,2.05e-261,"*",0.668,8.48699999999999e-259
"367","SPL-i_supraparietal lobule, Left, inferior bank of gyrus","datasource",1,1082,1610.32,2.06e-216,"*",0.598,8.5284e-214
"368","SPL-i_supraparietal lobule, Right, inferior bank of gyrus","datasource",1,1082,1649.943,7.58e-220,"*",0.604,3.13812e-217
"369","SPL-s_supraparietal lobule, Left, superior bank of gyrus","datasource",1,1082,1538.849,4.36e-210,"*",0.587,1.80504e-207
"370","SPL-s_supraparietal lobule, Right, superior bank of gyrus","datasource",1,1082,1842.026,8.05e-236,"*",0.63,3.3327e-233
"371","SptN_Septal nuclei, Left","datasource",1,1082,1565.585,1.79e-212,"*",0.591,7.4106e-210
"372","SptN_Septal nuclei, Right","datasource",1,1082,1519.018,2.66e-208,"*",0.584,1.10124e-205
"373","SRoG_superior rostral gyrus, Left","datasource",1,1082,1549.838,4.53e-211,"*",0.589,1.87542e-208
"374","SRoG_superior rostral gyrus, Right","datasource",1,1082,1799.245,2.35e-232,"*",0.624,9.72899999999999e-230
"375","STG-i_superior temporal gyrus, Left, inferior bank of gyrus","datasource",1,1082,1610.937,1.82e-216,"*",0.598,7.5348e-214
"376","STG-i_superior temporal gyrus, Right, inferior bank of gyrus","datasource",1,1082,1811.041,2.57e-233,"*",0.626,1.06398e-230
"377","STG-l_superior temporal gyrus, Left, lateral bank of gyrus","datasource",1,1082,1631.212,3.14e-218,"*",0.601,1.29996e-215
"378","STG-l_superior temporal gyrus, Right, lateral bank of gyrus","datasource",1,1082,1951.331,1.9e-244,"*",0.643,7.866e-242
"379","SubC_nucleus subceruleus, Left","datasource",1,1082,1681.145,1.62e-222,"*",0.608,6.7068e-220
"380","SubC_nucleus subceruleus, Right","datasource",1,1082,1905.437,7.29e-241,"*",0.638,3.01806e-238
"381","SubCn_subcuneiform nucleus, Left","datasource",1,1082,2071.912,1.3e-253,"*",0.657,5.382e-251
"382","SubCn_subcuneiform nucleus, Right","datasource",1,1082,2276.875,2.07e-268,"*",0.678,8.5698e-266
"383","SuM_Supramammillary Nucleus, Left","datasource",1,1082,1430.138,3.98e-200,"*",0.569,1.64772e-197
"384","TCd_Tail of Caudate Nucleus, Left","datasource",1,1082,1532.916,1.49e-209,"*",0.586,6.1686e-207
"385","TCd_Tail of Caudate Nucleus, Right","datasource",1,1082,1931.126,7.08e-243,"*",0.641,2.93112e-240
"386","TG_transverse gyri, Left","datasource",1,1082,1669.294,1.66e-221,"*",0.607,6.8724e-219
"387","TG_transverse gyri, Right","datasource",1,1082,1871.94,3.26e-238,"*",0.634,1.34964e-235
"388","TM_Tuberomammillary Nucleus, Left","datasource",1,1082,1476.505,2e-204,"*",0.577,8.28e-202
"389","TP-i_temporal pole, Left, inferior aspect","datasource",1,1082,1616.366,6.13e-217,"*",0.599,2.53782e-214
"390","TP-i_temporal pole, Right, inferior aspect","datasource",1,1082,1698.795,5.16e-224,"*",0.611,2.13624e-221
"391","TP-m_temporal pole, Left, medial aspect","datasource",1,1082,1714.439,2.48e-225,"*",0.613,1.02672e-222
"392","TP-m_temporal pole, Right, medial aspect","datasource",1,1082,1878.401,9.98999999999999e-239,"*",0.635,4.13586e-236
"393","TP-s_temporal pole, Left, superior aspect","datasource",1,1082,1665.68,3.38e-221,"*",0.606,1.39932e-218
"394","TP-s_temporal pole, Right, superior aspect","datasource",1,1082,1652.709,4.38e-220,"*",0.604,1.81332e-217
"395","trIFG_Inferior frontal gyrus, triangular part, Left","datasource",1,1082,1638.565,7.26e-219,"*",0.602,3.00564e-216
"396","trIFG_Inferior frontal gyrus, triangular part, Right","datasource",1,1082,1980.911,9.93999999999999e-247,"*",0.647,4.11516e-244
"397","Ve-I-II_I-II","datasource",1,1082,1255.129,3.79e-183,"*",0.537,1.56906e-180
"398","Ve-III_III","datasource",1,1082,1473.345,3.9e-204,"*",0.577,1.6146e-201
"399","Ve-IV_IV","datasource",1,1082,1396.445,5.96e-197,"*",0.563,2.46744e-194
"400","Ve-IX_IX","datasource",1,1082,1345.521,4.53e-192,"*",0.554,1.87542e-189
"401","Ve-V_V","datasource",1,1082,1299.352,1.48e-187,"*",0.546,6.1272e-185
"402","Ve-VI_VI","datasource",1,1082,1384.541,8.07e-196,"*",0.561,3.34098e-193
"403","Ve-VIIAf_VIIAf","datasource",1,1082,1203.197,7.29e-178,"*",0.527,3.01806e-175
"404","Ve-VIIAt_VIIAt","datasource",1,1082,1257.2,2.35e-183,"*",0.537,9.729e-181
"405","Ve-VIIB_VIIB","datasource",1,1082,1384.56,8.04e-196,"*",0.561,3.32856e-193
"406","Ve-VIIIA_VIIIA","datasource",1,1082,1352.429,9.73e-193,"*",0.556,4.02822e-190
"407","Ve-VIIIB_VIIIB","datasource",1,1082,1396.266,6.19e-197,"*",0.563,2.56266e-194
"408","Ve-X_X","datasource",1,1082,1375.011,6.56e-195,"*",0.56,2.71584e-192
"409","VMH_Ventromedial Hypothalamic Nucleus, Left","datasource",1,1082,1597.017,3.01e-215,"*",0.596,1.24614e-212
"410","VMH_Ventromedial Hypothalamic Nucleus, Right","datasource",1,1082,1459.219,7.84e-203,"*",0.574,3.24576e-200
"411","VTA_ventral tegmental area, Left","datasource",1,1082,1891.968,8.41e-240,"*",0.636,3.48174e-237
"412","VTA_ventral tegmental area, Right","datasource",1,1082,2417.573,4.67e-278,"*",0.691,1.93338e-275
"413","ZI_Zona Incerta, Left","datasource",1,1082,1907.351,5.15e-241,"*",0.638,2.1321e-238
"414","ZI_Zona Incerta, Right","datasource",1,1082,2887.693,1.1e-307,"*",0.727,4.554e-305
