"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"55","CgGf-s_Cingulate gyrus, frontal part, Left, superior bank of gyrus","datasource",1,1082,1590.662,1.09e-214,"*",0.595,4.5126e-212
"56","CgGf-s_Cingulate gyrus, frontal part, Right, superior bank of gyrus","datasource",1,1082,1769.511,6.45e-230,"*",0.621,2.6703e-227
"57","CgGp-i_Cingulate gyrus, parietal part, Left, inferior bank of gyrus","datasource",1,1082,1595.665,3.96e-215,"*",0.596,1.63944e-212
"58","CgGp-i_Cingulate gyrus, parietal part, Right, inferior bank of gyrus","datasource",1,1082,1880.841,6.4e-239,"*",0.635,2.6496e-236
"59","CgGp-s_Cingulate gyrus, parietal part, Left, superior bank of gyrus","datasource",1,1082,1673.915,6.7e-222,"*",0.607,2.7738e-219
"60","CgGp-s_Cingulate gyrus, parietal part, Right, superior bank of gyrus","datasource",1,1082,2064.798,4.43e-253,"*",0.656,1.83402e-250
"61","CgGr-i_Cingulate gyrus, retrosplenial part, Left, inferior bank of gyrus","datasource",1,1082,1606.189,4.74e-216,"*",0.597,1.96236e-213
"62","CgGr-i_Cingulate gyrus, retrosplenial part, Right, inferior bank of gyrus","datasource",1,1082,1886.174,2.42e-239,"*",0.635,1.00188e-236
"63","CgGr-s_Cingulate gyrus, retrosplenial part, Left, superior bank of gyrus","datasource",1,1082,1456.111,1.52e-202,"*",0.574,6.2928e-200
"64","CgGr-s_Cingulate gyrus, retrosplenial part, Right, superior bank of gyrus","datasource",1,1082,1848.479,2.44e-236,"*",0.631,1.01016e-233
"65","CGMB_central grey substance of midbrain, Left","datasource",1,1082,1749.951,2.68e-228,"*",0.618,1.10952e-225
"66","CGMB_central grey substance of midbrain, Right","datasource",1,1082,2054.354,2.68e-252,"*",0.655,1.10952e-249
"67","CGPo_central grey of the pons, Left","datasource",1,1082,1507.928,2.69e-207,"*",0.582,1.11366e-204
"68","CGPo_central grey of the pons, Right","datasource",1,1082,1578.969,1.17e-213,"*",0.593,4.8438e-211
"69","CGS_central glial substance","datasource",1,1082,1398.524,3.78e-197,"*",0.564,1.56492e-194
"70","Cl_Claustrum, Left","datasource",1,1082,1718.229,1.19e-225,"*",0.614,4.9266e-223
"71","Cl_Claustrum, Right","datasource",1,1082,1655.999,2.29e-220,"*",0.605,9.4806e-218
"72","CMRt_central medullary reticular group, Left","datasource",1,1082,1876.112,1.52e-238,"*",0.634,6.2928e-236
"73","CMRt_central medullary reticular group, Right","datasource",1,1082,2273.9,3.34e-268,"*",0.678,1.38276e-265
"74","CnF_cuneiform nucleus, Left","datasource",1,1082,1594.021,5.52e-215,"*",0.596,2.28528e-212
"75","CnF_cuneiform nucleus, Right","datasource",1,1082,2135.634,2.59e-258,"*",0.664,1.07226e-255
"76","COMA_Cortico-medial group, Left","datasource",1,1082,1794.305,5.95e-232,"*",0.624,2.4633e-229
"77","COMA_Cortico-medial group, Right","datasource",1,1082,1584.932,3.48e-214,"*",0.594,1.44072e-211
"78","CPLV_Choroid Plexus of the lateral ventricle","datasource",1,1082,877.296,1.12e-141,"*",0.448,4.6368e-139
"79","Cu_cuneate nucleus, Left","datasource",1,1082,2069.027,2.14e-253,"*",0.657,8.8596e-251
"80","Cu_cuneate nucleus, Right","datasource",1,1082,2183.271,9.09e-262,"*",0.669,3.76326e-259
"81","Cun-pest_cuneus, Left, peristriate","datasource",1,1082,1558.422,7.77e-212,"*",0.59,3.21678e-209
"82","Cun-pest_cuneus, Right, peristriate","datasource",1,1082,1683.782,9.68e-223,"*",0.609,4.00752e-220
"83","Cun-str_cuneus, Left, striate","datasource",1,1082,1538.322,4.87e-210,"*",0.587,2.01618e-207
"84","Cun-str_cuneus, Right, striate","datasource",1,1082,1557.364,9.66e-212,"*",0.59,3.99924e-209
"85","DBh_Diagonal Band, Horizontal Division, Left","datasource",1,1082,1912.514,2.02e-241,"*",0.639,8.3628e-239
"86","DBv_Diagonal Band, Vertical Division, Left","datasource",1,1082,1621.848,2.04e-217,"*",0.6,8.44559999999999e-215
"87","DG_Dentate gyrus, Left","datasource",1,1082,1092.981,3.07e-166,"*",0.503,1.27098e-163
"88","DG_Dentate gyrus, Right","datasource",1,1082,1388.813,3.16e-196,"*",0.562,1.30824e-193
"89","Dk_nucleus of Darkschewitsch, Left","datasource",1,1082,1758.695,5.04e-229,"*",0.619,2.08656e-226
"90","DMH_Dorsomedial hypothalamic Nucleus, Left","datasource",1,1082,1513.543,8.34e-208,"*",0.583,3.45276e-205
"91","Dt_Dentate Nucleus, Left","datasource",1,1082,1628.71,5.18e-218,"*",0.601,2.14452e-215
"92","Dt_Dentate Nucleus, Right","datasource",1,1082,2213.271,6.44e-264,"*",0.672,2.66616e-261
"93","DTA_Anterior Group of Nuclei, Left","datasource",1,1082,1616.235,6.29e-217,"*",0.599,2.60406e-214
"94","DTA_Anterior Group of Nuclei, Right","datasource",1,1082,1992.439,1.3e-247,"*",0.648,5.382e-245
"95","DTLd_Lateral group of Nuclei, Left, Dorsal Division","datasource",1,1082,1364.545,6.62e-194,"*",0.558,2.74068e-191
"96","DTLd_Lateral group of Nuclei, Right, Dorsal Division","datasource",1,1082,1506.918,3.33e-207,"*",0.582,1.37862e-204
"97","DTLv_Lateral group of Nuclei, Left, Ventral division","datasource",1,1082,1563.987,2.49e-212,"*",0.591,1.03086e-209
"98","DTLv_Lateral group of Nuclei, Right, Ventral division","datasource",1,1082,1695.038,1.07e-223,"*",0.61,4.4298e-221
"99","DTM_Medial Group of Nuclei, Left","datasource",1,1082,1577.957,1.44e-213,"*",0.593,5.9616e-211
"100","DTM_Medial Group of Nuclei, Right","datasource",1,1082,1828.974,9.07e-235,"*",0.628,3.75498e-232
"101","DTP_Posterior Group of Nuclei, Left","datasource",1,1082,1428.861,5.24e-200,"*",0.569,2.16936e-197
"102","DTP_Posterior Group of Nuclei, Right","datasource",1,1082,1623.957,1.34e-217,"*",0.6,5.5476e-215
"103","Emb_Emboliform Nucleus, Left","datasource",1,1082,1416.582,7.45e-199,"*",0.567,3.0843e-196
"104","Emb_Emboliform Nucleus, Right","datasource",1,1082,2353.83,9.77999999999999e-274,"*",0.685,4.04892e-271
"105","EW_Edinger Westphal nucleus, Left","datasource",1,1082,1886.471,2.29e-239,"*",0.636,9.4806e-237
"106","EW_Edinger Westphal nucleus, Right","datasource",1,1082,2104.587,4.92e-256,"*",0.66,2.03688e-253
"107","Fas_Fastigial Nucleus, Left","datasource",1,1082,1967.417,1.08e-245,"*",0.645,4.4712e-243
"108","Fas_Fastigial Nucleus, Right","datasource",1,1082,2015.375,2.33e-249,"*",0.651,9.6462e-247
"109","FP-s_frontal pole, Left, superior aspect","datasource",1,1082,1825.823,1.63e-234,"*",0.628,6.7482e-232
"110","FP-s_frontal pole, Right, superior aspect","datasource",1,1082,1663.781,4.92e-221,"*",0.606,2.03688e-218
"111","FPi_frontal pole, Left, inferior aspect","datasource",1,1082,1796.454,3.97e-232,"*",0.624,1.64358e-229
"112","FPi_frontal pole, Right, inferior aspect","datasource",1,1082,1644.549,2.21e-219,"*",0.603,9.1494e-217
"113","FPm_frontal pole, Left, medial aspect","datasource",1,1082,1614.104,9.63999999999999e-217,"*",0.599,3.99096e-214
"114","FPm_frontal pole, Right, medial aspect","datasource",1,1082,1581.713,6.7e-214,"*",0.594,2.7738e-211
"115","fro_frontal operculum, Left","datasource",1,1082,1667.809,2.22e-221,"*",0.607,9.1908e-219
"116","fro_frontal operculum, Right","datasource",1,1082,1917.808,7.78e-242,"*",0.639,3.22092e-239
"117","FuG-cos_fusiform gyrus, Left, bank of cos","datasource",1,1082,1589.15,1.48e-214,"*",0.595,6.1272e-212
"118","FuG-cos_fusiform gyrus, Right, bank of cos","datasource",1,1082,1874.003,2.23e-238,"*",0.634,9.2322e-236
"119","FuG-its_fusiform gyrus, Left, bank of the its","datasource",1,1082,1653.837,3.51e-220,"*",0.605,1.45314e-217
"120","FuG-its_fusiform gyrus, Right, bank of the its","datasource",1,1082,1824.709,2.01e-234,"*",0.628,8.3214e-232
"121","FuG-l_fusiform gyrus, Left, lateral bank of gyrus","datasource",1,1082,1562.916,3.1e-212,"*",0.591,1.2834e-209
"122","FuG-l_fusiform gyrus, Right, lateral bank of gyrus","datasource",1,1082,1729.77,1.28e-226,"*",0.615,5.2992e-224
"123","GiRt_gigantocellular group, Left","datasource",1,1082,1861.899,2.06e-237,"*",0.632,8.5284e-235
"124","GiRt_gigantocellular group, Right","datasource",1,1082,1777.541,1.41e-230,"*",0.622,5.8374e-228
"125","Glo_Globose Nucleus, Left","datasource",1,1082,1749.494,2.92e-228,"*",0.618,1.20888e-225
"126","Glo_Globose Nucleus, Right","datasource",1,1082,1919.839,5.39e-242,"*",0.64,2.23146e-239
"127","GPe_globus pallidus, external segment, Left","datasource",1,1082,1732.981,6.93e-227,"*",0.616,2.86902e-224
"128","GPe_globus pallidus, external segment, Right","datasource",1,1082,1852.701,1.12e-236,"*",0.631,4.6368e-234
"129","GPi_globus pallidus, internal segment, Left","datasource",1,1082,1529.541,2.99e-209,"*",0.586,1.23786e-206
"130","GPi_globus pallidus, internal segment, Right","datasource",1,1082,1776.984,1.56e-230,"*",0.622,6.4584e-228
"131","Gr_gracile nucleus, Left","datasource",1,1082,2089.865,6.04e-255,"*",0.659,2.50056e-252
"132","Gr_gracile nucleus, Right","datasource",1,1082,2360.658,3.34e-274,"*",0.686,1.38276e-271
"133","GRe_gyrus rectus, Left","datasource",1,1082,1626.246,8.47e-218,"*",0.6,3.50658e-215
"134","GRe_gyrus rectus, Right","datasource",1,1082,1804.866,8.18e-233,"*",0.625,3.38652e-230
"135","HCd_Head of Caudate Nucleus, Left","datasource",1,1082,1564.395,2.29e-212,"*",0.591,9.4806e-210
"136","HCd_Head of Caudate Nucleus, Right","datasource",1,1082,1752.757,1.57e-228,"*",0.618,6.4998e-226
"137","He-Crus I_Crus I, Left Lateral Hemisphere","datasource",1,1082,1323.644,6.09e-190,"*",0.55,2.52126e-187
"138","He-Crus I_Crus I, Right Lateral Hemisphere","datasource",1,1082,1861.628,2.16e-237,"*",0.632,8.9424e-235
"139","He-Crus II_Crus II, Left Lateral Hemisphere","datasource",1,1082,1331.34,1.08e-190,"*",0.552,4.4712e-188
"140","He-Crus II_Crus II, Right Lateral Hemisphere","datasource",1,1082,1771.38,4.52e-230,"*",0.621,1.87128e-227
"141","He-III_III, Left Lateral Hemisphere","datasource",1,1082,1102.082,3.2e-167,"*",0.505,1.3248e-164
"142","He-IV_IV, Left Lateral Hemisphere","datasource",1,1082,1171.835,1.3e-174,"*",0.52,5.382e-172
"143","He-IX_IX, Left Lateral Hemisphere","datasource",1,1082,1245.214,3.79e-182,"*",0.535,1.56906e-179
"144","He-V_V, Left Lateral Hemisphere","datasource",1,1082,1114.241,1.58e-168,"*",0.507,6.5412e-166
"145","He-VI_VI, Left Lateral Hemisphere","datasource",1,1082,1245.442,3.59e-182,"*",0.535,1.48626e-179
"146","He-VI_VI, Right Lateral Hemisphere","datasource",1,1082,1674.998,5.41e-222,"*",0.608,2.23974e-219
"147","He-VIIB_VIIB, Left Lateral Hemisphere","datasource",1,1082,1278.098,1.9e-185,"*",0.542,7.866e-183
"148","He-VIIB_VIIB, Right Lateral Hemisphere","datasource",1,1082,1833.926,3.61e-235,"*",0.629,1.49454e-232
"149","He-VIIIA_VIIIA, Left Lateral Hemisphere","datasource",1,1082,1186.944,3.48e-176,"*",0.523,1.44072e-173
"150","He-VIIIA_VIIIA, Right Lateral Hemisphere","datasource",1,1082,1733.34,6.46e-227,"*",0.616,2.67444e-224
"151","He-VIIIB_VIIIB, Left Lateral Hemisphere","datasource",1,1082,1076.479,1.9e-164,"*",0.499,7.866e-162
"152","He-X_X, Left Lateral Hemisphere","datasource",1,1082,1146.503,5.89e-172,"*",0.514,2.43846e-169
"153","HG_Heschls gyrus, Left","datasource",1,1082,1654.942,2.82e-220,"*",0.605,1.16748e-217
"154","HG_Heschls gyrus, Right","datasource",1,1082,1850.632,1.64e-236,"*",0.631,6.7896e-234
"155","Hl_Lateral Habenular Nucleus, Left","datasource",1,1082,2203.52,3.2e-263,"*",0.671,1.3248e-260
"156","Hl_Lateral Habenular Nucleus, Right","datasource",1,1082,1459.924,6.74e-203,"*",0.574,2.79036e-200
"157","Hm_Medial Habenular Nucleus, Left","datasource",1,1082,1688.312,3.99e-223,"*",0.609,1.65186e-220
"158","Hm_Medial Habenular Nucleus, Right","datasource",1,1082,1103.897,2.04e-167,"*",0.505,8.4456e-165
"159","IC_Inferior Colliculus, Left","datasource",1,1082,1654.409,3.13e-220,"*",0.605,1.29582e-217
"160","ICjl_interstitial nucleus of Cajal, Left","datasource",1,1082,1817.335,7.93e-234,"*",0.627,3.28302e-231
"161","ICjl_interstitial nucleus of Cajal, Right","datasource",1,1082,2034.869,7.8e-251,"*",0.653,3.2292e-248
"162","ILc_Caudal Group of Intralaminar Nuclei, Left","datasource",1,1082,1784.884,3.51e-231,"*",0.623,1.45314e-228
