"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"55","CgGf-s_Cingulate gyrus, frontal part, Left, superior bank of gyrus","datasource",1,1137,1633.461,3.96e-222,"*",0.59,1.63944e-219
"56","CgGf-s_Cingulate gyrus, frontal part, Right, superior bank of gyrus","datasource",1,1137,1808.568,2.86e-237,"*",0.614,1.18404e-234
"57","CgGp-i_Cingulate gyrus, parietal part, Left, inferior bank of gyrus","datasource",1,1137,1639.019,1.27e-222,"*",0.59,5.2578e-220
"58","CgGp-i_Cingulate gyrus, parietal part, Right, inferior bank of gyrus","datasource",1,1137,1925.543,6.85999999999999e-247,"*",0.629,2.84004e-244
"59","CgGp-s_Cingulate gyrus, parietal part, Left, superior bank of gyrus","datasource",1,1137,1717.192,1.74e-229,"*",0.602,7.2036e-227
"60","CgGp-s_Cingulate gyrus, parietal part, Right, superior bank of gyrus","datasource",1,1137,2099.431,1.57e-260,"*",0.649,6.4998e-258
"61","CgGr-i_Cingulate gyrus, retrosplenial part, Left, inferior bank of gyrus","datasource",1,1137,1653.087,7.14e-224,"*",0.592,2.95596e-221
"62","CgGr-i_Cingulate gyrus, retrosplenial part, Right, inferior bank of gyrus","datasource",1,1137,1923.115,1.08e-246,"*",0.628,4.4712e-244
"63","CgGr-s_Cingulate gyrus, retrosplenial part, Left, superior bank of gyrus","datasource",1,1137,1489.847,5.6e-209,"*",0.567,2.3184e-206
"64","CgGr-s_Cingulate gyrus, retrosplenial part, Right, superior bank of gyrus","datasource",1,1137,1889.854,5.4e-244,"*",0.624,2.2356e-241
"65","CGMB_central grey substance of midbrain, Left","datasource",1,1137,1788.529,1.39e-235,"*",0.611,5.7546e-233
"66","CGMB_central grey substance of midbrain, Right","datasource",1,1137,2104.019,7e-261,"*",0.649,2.898e-258
"67","CGPo_central grey of the pons, Left","datasource",1,1137,1529.815,1.04e-212,"*",0.574,4.3056e-210
"68","CGPo_central grey of the pons, Right","datasource",1,1137,1604.785,1.47e-219,"*",0.585,6.0858e-217
"69","CGS_central glial substance","datasource",1,1137,1402.051,1.4e-200,"*",0.552,5.796e-198
"70","Cl_Claustrum, Left","datasource",1,1137,1757.168,6.39e-233,"*",0.607,2.64546e-230
"71","Cl_Claustrum, Right","datasource",1,1137,1697.47,9.01e-228,"*",0.599,3.73014e-225
"72","CMRt_central medullary reticular group, Left","datasource",1,1137,1923.078,1.09e-246,"*",0.628,4.5126e-244
"73","CMRt_central medullary reticular group, Right","datasource",1,1137,2332.76,9.99e-278,"*",0.672,4.13586e-275
"74","CnF_cuneiform nucleus, Left","datasource",1,1137,1630.7,6.98e-222,"*",0.589,2.88972e-219
"75","CnF_cuneiform nucleus, Right","datasource",1,1137,2192.635,1.52e-267,"*",0.659,6.2928e-265
"76","COMA_Cortico-medial group, Left","datasource",1,1137,1840.682,6e-240,"*",0.618,2.484e-237
"77","COMA_Cortico-medial group, Right","datasource",1,1137,1631.969,5.38e-222,"*",0.589,2.22732e-219
"78","CPLV_Choroid Plexus of the lateral ventricle","datasource",1,1137,871.836,1.07e-142,"*",0.434,4.4298e-140
"79","Cu_cuneate nucleus, Left","datasource",1,1137,2126.371,1.4e-262,"*",0.652,5.796e-260
"80","Cu_cuneate nucleus, Right","datasource",1,1137,2247.881,1.31e-271,"*",0.664,5.4234e-269
"81","Cun-pest_cuneus, Left, peristriate","datasource",1,1137,1597.976,6.06e-219,"*",0.584,2.50884e-216
"82","Cun-pest_cuneus, Right, peristriate","datasource",1,1137,1730.588,1.22e-230,"*",0.603,5.0508e-228
"83","Cun-str_cuneus, Left, striate","datasource",1,1137,1569.535,2.32e-216,"*",0.58,9.6048e-214
"84","Cun-str_cuneus, Right, striate","datasource",1,1137,1599.577,4.34e-219,"*",0.585,1.79676e-216
"85","DBh_Diagonal Band, Horizontal Division, Left","datasource",1,1137,1960.099,1.16e-249,"*",0.633,4.8024e-247
"86","DBv_Diagonal Band, Vertical Division, Left","datasource",1,1137,1670.415,2.11e-225,"*",0.595,8.7354e-223
"87","DG_Dentate gyrus, Left","datasource",1,1137,1125.146,4.79e-172,"*",0.497,1.98306e-169
"88","DG_Dentate gyrus, Right","datasource",1,1137,1430.731,2.35e-203,"*",0.557,9.729e-201
"89","Dk_nucleus of Darkschewitsch, Left","datasource",1,1137,1798.719,1.92e-236,"*",0.613,7.9488e-234
"90","DMH_Dorsomedial hypothalamic Nucleus, Left","datasource",1,1137,1532.517,5.85e-213,"*",0.574,2.4219e-210
"91","Dt_Dentate Nucleus, Left","datasource",1,1137,1680.499,2.74e-226,"*",0.596,1.13436e-223
"92","Dt_Dentate Nucleus, Right","datasource",1,1137,2269.814,3.32e-273,"*",0.666,1.37448e-270
"93","DTA_Anterior Group of Nuclei, Left","datasource",1,1137,1653.296,6.84e-224,"*",0.593,2.83176e-221
"94","DTA_Anterior Group of Nuclei, Right","datasource",1,1137,2043.889,2.96e-256,"*",0.643,1.22544e-253
"95","DTLd_Lateral group of Nuclei, Left, Dorsal Division","datasource",1,1137,1396.15,5.27e-200,"*",0.551,2.18178e-197
"96","DTLd_Lateral group of Nuclei, Right, Dorsal Division","datasource",1,1137,1531.269,7.63e-213,"*",0.574,3.15882e-210
"97","DTLv_Lateral group of Nuclei, Left, Ventral division","datasource",1,1137,1602.363,2.43e-219,"*",0.585,1.00602e-216
"98","DTLv_Lateral group of Nuclei, Right, Ventral division","datasource",1,1137,1732.303,8.65e-231,"*",0.604,3.5811e-228
"99","DTM_Medial Group of Nuclei, Left","datasource",1,1137,1605.162,1.36e-219,"*",0.585,5.6304e-217
"100","DTM_Medial Group of Nuclei, Right","datasource",1,1137,1874.176,1.04e-242,"*",0.622,4.3056e-240
"101","DTP_Posterior Group of Nuclei, Left","datasource",1,1137,1459.938,3.78e-206,"*",0.562,1.56492e-203
"102","DTP_Posterior Group of Nuclei, Right","datasource",1,1137,1659.412,1.97e-224,"*",0.593,8.15579999999999e-222
"103","Emb_Emboliform Nucleus, Left","datasource",1,1137,1461.223,2.85e-206,"*",0.562,1.1799e-203
"104","Emb_Emboliform Nucleus, Right","datasource",1,1137,2412.6,2.4e-283,"*",0.68,9.936e-281
