"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,5242,646.59,1.33e-134,"*",0.11,2.128e-133
"2","AMY","datasource",1,5242,306.228,1.1e-66,"*",0.055,1.76e-65
"3","CBC","datasource",1,3494,177.821,1.33e-39,"*",0.048,2.128e-38
"4","DFC","datasource",1,5242,658.19,7.58e-137,"*",0.112,1.2128e-135
"5","HIP","datasource",1,5242,297.571,6.7e-65,"*",0.054,1.072e-63
"6","IPC","datasource",1,5242,684.843,5.52e-142,"*",0.116,8.832e-141
"7","ITC","datasource",1,5242,573.77,2.04e-120,"*",0.099,3.264e-119
"8","M1C","datasource",1,5242,602.32,5.33e-126,"*",0.103,8.528e-125
"9","MD","datasource",1,3494,177.151,1.83e-39,"*",0.048,2.928e-38
"10","MFC","datasource",1,5242,563.773,1.87e-118,"*",0.097,2.992e-117
"11","OFC","datasource",1,5242,617.488,5.91e-129,"*",0.105,9.456e-128
"12","S1C","datasource",1,5242,651.327,1.61e-135,"*",0.111,2.576e-134
"13","STC","datasource",1,3494,425.425,2.74e-89,"*",0.109,4.384e-88
"14","STR","datasource",1,5242,437.189,2.6e-93,"*",0.077,4.16e-92
"15","V1C","datasource",1,5242,607.16,6.07e-127,"*",0.104,9.712e-126
"16","VFC","datasource",1,5242,667.187,1.39e-138,"*",0.113,2.224e-137
