"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,2620,234.849,7.83e-51,"*",0.082,1.3311e-49
"2","AMY","datasource",1,2620,118.381,5.36e-27,"*",0.043,9.112e-26
"3","CBC","datasource",1,2620,201.128,4.84e-44,"*",0.071,8.228e-43
"4","DFC","datasource",1,3494,203.913,5.28e-45,"*",0.055,8.976e-44
"5","HIP","datasource",1,3494,170.627,4.16e-38,"*",0.047,7.072e-37
"6","IPC","datasource",1,3494,264.962,1.76e-57,"*",0.07,2.992e-56
"7","ITC","datasource",1,2620,142.036,6.29e-32,"*",0.051,1.0693e-30
"8","M1C","datasource",1,2620,215.662,5.59e-47,"*",0.076,9.503e-46
"9","MD","datasource",1,3494,146.162,5.4e-33,"*",0.04,9.18e-32
"10","MFC","datasource",1,3494,224.663,2.86e-49,"*",0.06,4.862e-48
"11","MSC","datasource",1,872,48.419,6.76e-12,"*",0.053,1.1492e-10
"12","OFC","datasource",1,2620,171.177,6.16e-38,"*",0.061,1.0472e-36
"13","S1C","datasource",1,2620,229.026,1.15e-49,"*",0.08,1.955e-48
"14","STC","datasource",1,3494,237.763,5.99e-52,"*",0.064,1.0183e-50
"15","STR","datasource",1,3494,310.007,1.5e-66,"*",0.081,2.55e-65
"16","V1C","datasource",1,3494,235.915,1.43e-51,"*",0.063,2.431e-50
"17","VFC","datasource",1,3494,220.592,1.96e-48,"*",0.059,3.332e-47
