"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"Fetal_1",0.403544526950644,0.170212207107413,0.14042788046829,0.10199649258104,0.0502369243201041,0.0357354661854567,0.0327490175224761,0.0220235156319496,0.0193727679589501,0.0134909191618556,0.00700525531586864,0.00320502679595187
"Fetal_2",0.342617159956492,0.173564784271333,0.133799990502639,0.088555746320238,0.0799769678012554,0.054757518000905,0.041043736385279,0.0300639716019333,0.0251265417485306,0.0152984117660092,0.00962643463006651,0.00556873701531893
"Fetal_3",0.327551442305067,0.183203234785391,0.149617204031685,0.110680776943385,0.078349147724786,0.0439372294066336,0.0390577788351354,0.0208434742335701,0.0178623120687276,0.0126725495688525,0.0107250261444077,0.00549982395235906
"Birth/Inf",0.33286687075382,0.17944610983626,0.165794736406865,0.0954207815858611,0.0656762943630503,0.048331958399493,0.0435257034430096,0.0323191824777959,0.0160381587500308,0.011123828173407,0.0081302797401212,0.00132609607028664
"Infan_Child",0.363919497406322,0.283402054468803,0.126117391341596,0.0716065233457441,0.0435211774321764,0.033594435053223,0.0231197508898019,0.0200948891094762,0.0125016485368686,0.00962201222020768,0.00754897175798502,0.00495164843779661
"Child",0.343966366676964,0.287744492961275,0.13702139132432,0.0589905925210659,0.0491904160160658,0.0365457496616702,0.028157534915961,0.0179031117207911,0.0141950348996005,0.0107198607881213,0.0098066161915454,0.00575883232262006
"Adolescent",0.346399395940607,0.28591351267698,0.116177879234247,0.0695938036654464,0.0597884972333295,0.0459188972490536,0.0222528352367311,0.0165729405420502,0.014999883555874,0.0114649395165517,0.00660486711819136,0.00431254803093847
"Adult",0.27730607820681,0.204593190270542,0.137745536736053,0.0878827816197058,0.0747180457476977,0.069832768115728,0.0372959499385571,0.0354180364569949,0.0283343357731333,0.0231777640301854,0.014220520394915,0.00947499270967842
