"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95"
"Fetal_1",0.229694867259686,0.124377769888787,0.0972257165645659,0.0696115809499473,0.0543530044481825,0.042566978161589,0.0378755020981551,0.0349560028597721,0.0306469780952097,0.0268994939836743,0.0228323631832275,0.0215765186698583,0.0145996413705512,0.0128570786475154,0.0109371136688503,0.0089312319991701,0.00856757419073836,0.00812698516698566,0.00715162239967985,0.00679137495776454,0.00633669332769991,0.00583420383848862,0.00564136021307059,0.00538747324201645,0.00511056877263031,0.00475949749811638,0.00454148895697531,0.00438720853920844,0.00399679475180309,0.00392186056115786,0.00368061395411227,0.00358182653128933,0.00346942965866999,0.00328810921481044,0.0032730034776936,0.00313570245519081,0.0030144910146445,0.00285933461194287,0.00285305437383209,0.00260755020695733,0.00250201071905721,0.00244177432156806,0.00217021781696463,0.00210867026187621,0.00204676482146218,0.00193205233388028,0.00188554462912311,0.00181319710254185,0.00175816866599602,0.00169244739106745,0.00158865724329685,0.00144504405749788,0.00142403903520685,0.00137790288208022,0.00132128117049071,0.00125071247044728,0.00117616003659281,0.00109120890631103,0.00105705179878779,0.0010177035799211,0.000970663124165068,0.000913607112477165,0.000893508040520065,0.00085369110338204,0.000839828687806599,0.000791372648999109,0.000742603557470353,0.000729517996297827,0.00065475185546953,0.000640687692209002,0.000607393881961638,0.000545242557254497,0.000529922899867387,0.000490928644788851,0.000470137582520594,0.000423816378343823,0.000419632280974069,0.000402481471089714,0.000376788054973807,0.000352153043398952,0.000312226444059081,0.000299223515566654,0.000293375409165996,0.000266274604802427,0.000235550490640125,0.000226324999593405,0.000187262501967837,0.000170760411844135,2.10410223266716e-31,NA,NA,NA,NA,NA,NA
"Fetal_2",0.218359135284232,0.136426189155615,0.12302236957688,0.0833315254724019,0.0539967864366654,0.0436163811087789,0.0407307049973953,0.0326538112956763,0.0289074302669724,0.0223661835632708,0.0191952478663824,0.016022846180565,0.0146829186950336,0.0134542284953272,0.0124174403839005,0.0121291260670074,0.010708300197706,0.00953783682197682,0.00811487046912998,0.00782494410440399,0.0072260210144749,0.00669874972531114,0.00633872246027095,0.00571169031334066,0.00511821989683083,0.00501259468335715,0.00478745783749168,0.00446605064761877,0.00434604549912398,0.00397486111362706,0.00392997053039296,0.00336870615110968,0.00322152336294339,0.00296333371438311,0.00263206625772229,0.00238288277582892,0.00221330630863916,0.00213563165819119,0.00195031290738739,0.00178289996482583,0.00167648083851041,0.00164425834835255,0.00157327269018185,0.00138453079118912,0.00132777633054437,0.00108302709345794,0.000983858516502941,0.000956194566608317,0.000814830708244815,0.000796446854216295,1.60542769450517e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fetal_3",0.235562191662845,0.139303968888563,0.0907624756154902,0.0747593776139403,0.0629268286649019,0.0503109336941906,0.0400883726300649,0.0314862497032465,0.0272175601308373,0.025334923430156,0.0193495016529121,0.0184960316496001,0.0128707858993423,0.0115070127510741,0.0108393181021182,0.0105608651762006,0.00984146793965255,0.00932974246286995,0.00822238025797075,0.00767583664743656,0.00736301623046481,0.00656650700464181,0.0059505924404181,0.00576860856178293,0.0055322993565876,0.00512374722273093,0.00486106391855046,0.00476012954143893,0.00416316512510397,0.00390621385570612,0.00381799080927428,0.00363212819411524,0.00355179407912006,0.00316269582725306,0.0028874343175425,0.00276288684274238,0.00258501615785719,0.00254775211043819,0.00242622178109864,0.00211090146334946,0.00205114265198944,0.00191884287577171,0.00180002498887544,0.00173030208297457,0.0015828909496691,0.00148748142323166,0.00133937280998174,0.00120187939364973,0.00116348099188068,0.00107091743630332,0.0010283491791834,0.00091418687189897,0.000786390122217371,0.000720305381179148,0.000685674398592538,0.000592769028971898,1.2488051405325e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birth/Inf",0.299250905280424,0.134780054892028,0.0989588344128924,0.0589059370145593,0.0548125879667114,0.0414103764359013,0.0364322268099695,0.0266363852011024,0.0245856323078105,0.0189217055817244,0.0182000593073626,0.0160924036362013,0.0153600124646011,0.0130841174369077,0.0117113649097005,0.010590040606744,0.0100651752457143,0.00895976886267657,0.0072391080802963,0.00684274346493787,0.00618228920230988,0.00610428784248237,0.00460510106604894,0.00442499248970071,0.00420067588357507,0.00392116151494085,0.0037880895475883,0.00359972325743559,0.00322444600566839,0.00311359133439595,0.00291021577867393,0.00270458948549879,0.00250126924882272,0.00236732201163405,0.00227015323300856,0.0021815380506648,0.00208598813953894,0.00197979553072484,0.00176524960583792,0.001679997136439,0.00154526642366384,0.00141244512250064,0.00130395307404987,0.00129087710054297,0.00112684574447982,0.00105704897082975,0.000994971392360423,0.000938355970326803,0.00082862157125215,0.000803898866146555,0.0008014566421938,0.000727268075865177,0.00067952204253249,0.000663285087564584,0.000642842353388722,0.000633752237723712,0.000541424840326197,0.000501122414534638,0.000478732385852897,0.000471030719974835,0.000441939539390935,0.000403623450097539,0.000386650451342489,0.00035844077820462,0.000350431942465851,0.0002986692875142,0.000280980766649443,0.000258668084878206,0.000237884128200283,0.000218688418973273,0.000212907655044226,0.000180604573471806,0.000174177517989295,0.000158372870939827,0.000145323215473157,8.31698189326286e-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infan_Child",0.317580510603037,0.137501669071592,0.104727302697647,0.0639495769525076,0.0517418692458937,0.0459382918487987,0.0339790516617953,0.019533786465141,0.017642139671742,0.0153885785976343,0.0129229775138039,0.0123686765313576,0.0116106833961364,0.0110022397562411,0.00987331259679289,0.00878593570097462,0.007774645725676,0.00709638876693774,0.00656636825666471,0.00625142453795803,0.00578340648125903,0.00550290273962721,0.00535302616339203,0.00500115345581861,0.00451899000746403,0.00429410481149226,0.00400684158614094,0.00364816564037672,0.00358162773235741,0.00345324800660224,0.00330476384404664,0.00309790912582489,0.00291008831937631,0.0028709499937661,0.00269876421039386,0.00249844267943394,0.00231422036943462,0.00218545125155332,0.00201106812864347,0.00185355585880506,0.00177845104427631,0.00174466349267138,0.00170984973113519,0.00164003626525107,0.00153641835087581,0.00145120931682715,0.00130790598262258,0.00122534895364982,0.00119088024031363,0.00104070173557599,0.00101047342395789,0.000951176384993298,0.000913783069857953,0.00084715116281957,0.000795928452406268,0.000762406553235178,0.000732165434488581,0.000667167801903201,0.000660623251884513,0.000616362654412169,0.000585459945829978,0.000538606643050834,0.000522836534040506,0.000447163768715527,0.000403249987446471,0.00036701799714087,0.000355350407911178,0.000324649891869195,0.000280272502515776,0.000257702120472089,0.000210876893709347,7.73809797096721e-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Child",0.242808940700116,0.15909360961094,0.108031472367379,0.0656103906178253,0.0434837720974717,0.0419346451140096,0.0367169248982657,0.0303958357221564,0.0245943610773251,0.0207708720905803,0.0191824580586109,0.0179439947960772,0.0149280644481003,0.0131082913410013,0.0111758169998448,0.0102042433537439,0.00922044938966085,0.00844025251478875,0.00786680285761879,0.00763701945823448,0.00714715470631147,0.00611645062100098,0.00547301969600991,0.00516858933888484,0.00508128167474475,0.00469366547893698,0.00427622180794915,0.00399484568429564,0.00373993592012093,0.00358937566923328,0.0031634824865921,0.00311004266295242,0.00296675902827393,0.00286346698888632,0.00272283482181243,0.00267845957011703,0.00251760462381676,0.00231840994069386,0.00228294072134776,0.00217061040243807,0.00211430962751188,0.00202470249629228,0.00182075915807167,0.00177703356155289,0.00168049896909786,0.00156673313795188,0.0015411841996871,0.00139152473922378,0.00132831694775219,0.00127650708890235,0.00119220971951787,0.00107915367086926,0.00102331260771758,0.000998697889104783,0.000915890740407184,0.000903126580807467,0.000844893162283809,0.000802954429531208,0.000746428973189294,0.000726575586552478,0.000664224533709567,0.000627698925741226,0.000568956511942318,0.00056096646606216,0.000466212857183955,0.000460399840781193,0.000410196213096311,0.000377337065538126,0.00035048635440835,0.000281881848069429,0.000253456739273161,8.95472892745147e-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescent",0.295160656346057,0.161459050412751,0.0784920306712687,0.0639871143234818,0.0589827696023969,0.0432776942294165,0.0333510617731988,0.0272986322702926,0.0214606274563641,0.0175793164850751,0.0160324045797078,0.0139145950452215,0.0120830689880227,0.010965602155779,0.00977212513072901,0.00935941708637887,0.00850701452225065,0.00782149554969377,0.00740176418499959,0.00675628143899945,0.00615038328476252,0.0057500167740912,0.00565158016862677,0.00510301512346335,0.00479130248132224,0.00469191747431637,0.00452478224323324,0.00417037121522422,0.00385840751260482,0.00338204092893141,0.00333501605799614,0.00324380994060548,0.00305793994400273,0.00283247329381362,0.00270410330211528,0.00266141683773908,0.00241419833832283,0.00236205060376671,0.00218685260465739,0.00203324216756897,0.00187622899621888,0.00179822175707585,0.00167561237722405,0.00151417789499378,0.00149118696814139,0.00142312798961531,0.0013758604038904,0.0013255049042817,0.00116552404426986,0.00113722687677201,0.000987306607373315,0.00087337361693363,0.000849088359423738,0.000799482564867679,0.000763614344045662,0.000725095335938678,0.000645513116578108,0.000555776245706266,0.000450435047401278,1.71854731509404e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adult",0.171638916821802,0.158505409881351,0.121398656039363,0.0907350637131231,0.0765833431630701,0.0436286763810058,0.0350686702350742,0.0304025115424412,0.0249449794800485,0.0194529868412457,0.0172458115596019,0.0157439917416405,0.0136652696413628,0.0116223294432711,0.00950491328394185,0.00881447977267927,0.00771099997512803,0.00729295675964283,0.00692282929718033,0.00646873512522719,0.00577260290015419,0.00548215743903229,0.00515569641511426,0.00484965259220958,0.0047481705782775,0.00465012971476549,0.00432407964269292,0.00414765821749592,0.00381045728146554,0.00375747756304164,0.00347966248348747,0.00342119147298382,0.00323956073350811,0.00306514848473009,0.00301727924310457,0.0028603224988184,0.00270137373656321,0.00258124778387973,0.00254324517805222,0.00236016241729575,0.00222621302966164,0.00208809233680623,0.00203317349113222,0.00194857344785225,0.00186019141148305,0.00181411584844663,0.00169146556488914,0.0016055831866508,0.00158906651471202,0.00149087087866851,0.00147046037808411,0.0013473707034177,0.00131139810182653,0.00124686432814267,0.00120810119670772,0.00114873429450658,0.00113052435707267,0.00107399123982144,0.00103769310647019,0.000983334455640642,0.000955099211417405,0.000886620710729974,0.000848878977342149,0.000821351327750251,0.000804274566267412,0.000769214370481927,0.000707289965940113,0.000695571633740438,0.000671229271084849,0.000638962872593037,0.00061537453003237,0.000577308122495626,0.000558250582349303,0.000540694554972712,0.000504684742652277,0.000484462263140383,0.000462550051596992,0.000412240507050105,0.000402357572490982,0.000394723861417012,0.000372296923952979,0.000360200470073722,0.0003439644378744,0.000312448440556981,0.000282710151195849,0.000278882087264827,0.00026876164979742,0.000246337394088073,0.000240016014448431,0.000216328320447746,0.000203858974588719,0.000180913943175726,0.000172038710385526,0.000145477839737682,1.01612609312742e-31
