"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,3494,265.316,1.49e-57,"*",0.071,2.533e-56
"2","AMY","datasource",1,2620,226.471,3.74e-49,"*",0.08,6.358e-48
"3","CBC","datasource",1,1746,124.61,5.36e-28,"*",0.067,9.112e-27
"4","DFC","datasource",1,3494,292.009,6.12e-63,"*",0.077,1.0404e-61
"5","HIP","datasource",1,3494,250.755,1.35e-54,"*",0.067,2.295e-53
"6","IPC","datasource",1,3494,267.155,6.34e-58,"*",0.071,1.0778e-56
"7","ITC","datasource",1,1746,124.119,6.75e-28,"*",0.066,1.1475e-26
"8","M1C","datasource",1,872,72.663,6.72e-17,"*",0.077,1.1424e-15
"9","MD","datasource",1,3494,300.122,1.44e-64,"*",0.079,2.448e-63
"10","MFC","datasource",1,3494,288.616,2.95e-62,"*",0.076,5.015e-61
"11","MSC","datasource",1,2620,215.833,5.17e-47,"*",0.076,8.789e-46
"12","OFC","datasource",1,1746,155.205,3.42e-34,"*",0.082,5.814e-33
"13","S1C","datasource",1,872,67.709,6.87e-16,"*",0.072,1.1679e-14
"14","STC","datasource",1,3494,261.802,7.7e-57,"*",0.07,1.309e-55
"15","STR","datasource",1,3494,295.065,1.49e-63,"*",0.078,2.533e-62
"16","V1C","datasource",1,3494,271.857,7.09e-59,"*",0.072,1.2053e-57
"17","VFC","datasource",1,3494,283.343,3.4e-61,"*",0.075,5.78e-60
