"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,5242,517.244,2.81e-109,"*",0.09,4.496e-108
"2","AMY","datasource",1,5242,482.706,2.04e-102,"*",0.084,3.264e-101
"3","CBC","datasource",1,3494,341.456,8.15e-73,"*",0.089,1.304e-71
"4","DFC","datasource",1,5242,548.25,2.11e-115,"*",0.095,3.376e-114
"5","HIP","datasource",1,5242,476.189,4.06e-101,"*",0.083,6.496e-100
"6","IPC","datasource",1,5242,496.907,3.04e-105,"*",0.087,4.864e-104
"7","ITC","datasource",1,5242,487.17,2.63e-103,"*",0.085,4.208e-102
"8","M1C","datasource",1,5242,531.772,3.76e-112,"*",0.092,6.016e-111
"9","MD","datasource",1,3494,339.429,2.06e-72,"*",0.089,3.296e-71
"10","MFC","datasource",1,5242,549.037,1.48e-115,"*",0.095,2.368e-114
"11","OFC","datasource",1,5242,586.958,5.34e-123,"*",0.101,8.544e-122
"12","S1C","datasource",1,5242,526.406,4.32e-111,"*",0.091,6.912e-110
"13","STC","datasource",1,3494,323.757,2.7e-69,"*",0.085,4.32e-68
"14","STR","datasource",1,5242,564.3,1.48e-118,"*",0.097,2.368e-117
"15","V1C","datasource",1,5242,508.845,1.3e-107,"*",0.088,2.08e-106
"16","VFC","datasource",1,5242,559.11,1.54e-117,"*",0.096,2.464e-116
