"","MD Thalamus - R2"
"PAFAH1B3",0.999330476831213
"AGAP1",0.99930872943151
"MARCH4",0.99929136875874
"SENP2",0.999288176166922
"CADM1",0.999275009903182
"ZNF776",0.999273928419679
"UHRF1BP1",0.999269391339516
"NANOS3",0.999265281817061
"TRIB2",0.999255988214665
"ABHD12",0.999255526371297
"HOMER1",0.999253208134316
"OXSR1",0.999252613114241
"PDSS2",0.999243076175339
"ARMCX1",0.999240779057954
"C12orf68",0.999233274534899
"PNKD",0.999228010894972
"UBE3A",0.9992160176114
"BPTF",0.99921538046365
"MEX3B",0.999214298236487
"ZIC4",0.999203955278627
"IGFBP2",0.999201719667823
"FICD",0.999201087988375
"FAM171B",0.999191830931403
"RABGAP1L",0.999188488660938
"COASY",0.999188089116395
"SH3BP5",0.999188019141535
"EIF4A3",0.999176414623996
"ZNF48",0.999174140537785
"SEC23A",0.999173604761838
"SSH2",0.999119848219689
"MED1",0.999116274096731
"FAM208A",0.999097064768068
"H2AFY2",0.999093277103694
"CAMSAP1",0.9990926955251
"HMGCR",0.99908406308029
"CHCHD3",0.999077145305803
"PRKAR2A",0.999074279707177
"JDP2",0.999067760933348
"SYNPO2",0.999066523649605
"SPIRE1",0.999062680735515
"CSRNP2",0.999062183440137
"WHSC1",0.99901550963944
"KLHDC8A",0.999012848021387
"AFF4",0.999003964743988
"GRIN3A",0.999002645776133
"ACTG1",0.998950868985619
"CHAMP1",0.998946291797846
"MEIS3",0.998935409905282
"PPP1R14B",0.998925546521447
"ING1",0.998918570746214
"ZCCHC24",0.998915752711981
"EYA2",0.998906535749138
"SLC35E2B",0.998890210434825
"FAM117B",0.998886237297452
"FOXP2",0.998878288609893
"PLCXD2",0.998872791045629
"TAPBPL",0.99887186054841
"RNF219",0.998850896061339
"MT1F",0.998850396172236
"AMPD3",0.998850306070771
"ZNF711",0.998837562740611
"SRRM4",0.998821414858206
"PPIF",0.998765897914375
"IGFBPL1",0.998765425350244
"ASGR1",0.998749692987645
"SEMA3C",0.998749065867418
"CKMT2",0.998728294307603
"DPYSL5",0.998726342268804
"NEU1",0.998724263619014
"LSM11",0.998713738908775
"GPC2",0.998711415680441
"FXYD6-FXYD2",0.998702288120197
"KLF7",0.998700568755001
"FZD3",0.998696108589695
"MYC",0.998694626900726
"SYNM",0.998694543863149
"TROVE2",0.998687665567494
"ATG16L1",0.998676441476346
"PSPC1",0.998650174624184
"GPR137C",0.998649092317155
"COQ7",0.998638474101168
"CHST6",0.998620639558003
"EXOC4",0.998620395151115
"CHL1",0.99861901962832
"HSD11B2",0.998615910413845
"DOK4",0.998593266977966
"FBLN5",0.998592406021571
"KDM5B",0.99858373785977
"IVNS1ABP",0.998573758007621
"C16orf45",0.998568826427059
"PCNXL4",0.998559708685268
"MAGEF1",0.998557920789848
"KIAA1549",0.998555280567548
"RTF1",0.998537470772992
"EPCAM",0.998523005529667
"LATS1",0.998515091649872
"COL4A1",0.998513550320719
"EML4",0.998500599488036
"KMT2E",0.99847733665224
"MECR",0.998445182451021
"DLG2",0.998443497476579
"FBXL20",0.998430797002284
"VTI1A",0.998428759470515
"URM1",0.99839482714633
"FAM57B",0.998394434927161
"MDFI",0.998391872426419
"KHDRBS2",0.998389847690706
"NKAIN1",0.998386204991149
"RPL3",0.998380937600927
"PAK3",0.998365684046568
"TUBA1A",0.998355498889213
"VHL",0.998293946949683
"UCK2",0.998250253557273
"CRYGD",0.998230331524784
"C11orf80",0.998225636312351
"HN1",0.998224808993606
"WNK1",0.998216770711879
"ZNF91",0.998208408339635
"PPP1R1A",0.998201194040876
"GNAZ",0.998198014562679
"SLC6A6",0.998191674494614
"FAM13B",0.998171358656239
"ZFP90",0.998164526465746
"KIDINS220",0.998161185299582
"NBEA",0.998153250447501
"UST",0.998150619556835
"CTCF",0.998142385753005
"PPM1G",0.998139865748928
"TRMT2B",0.998136063991538
"ST6GALNAC5",0.998132599622652
"MAPK14",0.998106732010439
"NFYA",0.998097773481522
"RCOR2",0.998088655549133
"DCAF12",0.998085566497272
"CAPNS1",0.998064717865767
"ZNF689",0.998054820963514
"PDE5A",0.998049070285914
"NIPBL",0.998042991761272
"RFX7",0.998030701734437
"NIPAL3",0.998026899645539
"PBRM1",0.998019384307051
"FSCN1",0.998010891672288
"NTNG2",0.997996162449871
"ANXA11",0.997995378313948
"IPPK",0.997991689178449
"CRELD1",0.997983892429454
"MRPS25",0.997949417155682
"PIAS1",0.997946054523878
"TUBG2",0.997935499800386
"STOX2",0.997934554428736
"CCDC3",0.997922208173398
"OGN",0.997915316446644
"STUB1",0.997889107424871
"MPI",0.997858204975326
"CBX8",0.997853981622657
"IFI27L1",0.997837804262307
"NREP",0.997827616581338
"AVPI1",0.997826053823088
"FAM222A",0.997800331208588
"MFSD2B",0.997785994967119
"PHF20",0.99777361636911
"BHLHB9",0.99777169120829
"ATXN1L",0.997737684716158
"HMGCS1",0.997708722360602
"RLF",0.997704236145785
"VCAM1",0.997676364544461
"RAMP2",0.997647956044284
"PDGFB",0.99763999277377
"CHMP4B",0.997605729095981
"REEP1",0.997574478843183
"NRIP2",0.997572990788284
"EIF2AK1",0.997563112534771
"YPEL4",0.997561555501989
"DPF1",0.997540724667799
"EDEM3",0.997539027871929
"ENC1",0.997530924551046
"AADAT",0.997494796504144
"NTM",0.997490362867452
"RCBTB1",0.997453590480068
"ACBD6",0.997448633564778
"PHF14",0.997424602965863
"PIGZ",0.997420402224405
"GJC1",0.997402239349316
"CXXC4",0.997393571612447
"SLC37A1",0.99737602849035
"PAG1",0.997354452595357
"LGI3",0.99732536807022
"MON1B",0.997325137684069
"CAMK1D",0.997295272396272
"AMY2B",0.99728327010682
"SRGAP2",0.997229003118285
"POU2F1",0.997215977024618
"SMEK1",0.997210153796825
"FAM131B",0.997199036905596
"UBFD1",0.997190575638022
"PRR19",0.99719014144302
"ANTXR1",0.997190028188413
"CNR1",0.997131414294752
"OAZ2",0.99712507762366
"RNF2",0.997069648491241
"CCNI2",0.997066540256656
"EXOC2",0.997053860788176
"GRIA2",0.997050490570405
"ABCB10",0.997028350892274
"CPEB1",0.996993562105929
"CCDC47",0.996943068814737
"NPTXR",0.996928341445894
"RET",0.996923612036031
"STRN3",0.996863490943118
"SMCHD1",0.996833492539174
"EPB41",0.996821054654272
"RBM12",0.996798451111553
"TBC1D30",0.996790396532914
"GNB1",0.996783611422136
"RAE1",0.996782150080483
"PALM3",0.996781848896139
"MESDC1",0.996770373229489
"SAFB2",0.996758405791526
"SMC3",0.996737426714457
"JARID2",0.996711799799538
"ARL4C",0.996696416537629
"MARK1",0.996680568573062
"ALKBH7",0.996670728649352
"RNF152",0.996661784433323
"NLN",0.996649081231701
"DUSP6",0.996648749550696
"FUBP1",0.996640429490289
"QPCT",0.99658720896642
"RASSF7",0.996515605446498
"DGCR14",0.996486144593182
"DGKD",0.996478430289888
"MEIS2",0.996467184769087
"VPS37D",0.996448403872441
"EPHB1",0.996442354905087
"HMGA1",0.996433392972412
"TTC9",0.996432810653801
"PABPC4",0.996417272721703
"F2R",0.996405108490925
"RHOBTB1",0.996402739486226
"PGP",0.99639893570948
"MMACHC",0.996364396553675
"CBLL1",0.996332494054304
"DACT1",0.996318765499336
"AFF2",0.996299233740873
